Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Kawhi Leonard,25-259,F,3/15/17,SAS,POR,1,37,12,21,0.571,8,14,0.571,4,7,0.571,6,7,0.857,0,9,9,6,3,2,2,4,34,31.4
Karl-Anthony Towns,21-139,C-F,4/3/17,MIN,POR,1,39,15,25,0.6,15,25,0.6,0,0,,4,4,1,4,8,12,0,0,0,1,2,34,25.9
Kristaps Porzingis,21-133,F-C,12/13/16,NYK,PHO,1,42,12,23,0.522,8,19,0.421,4,4,1,6,7,0.857,1,7,8,0,3,3,2,6,34,25.8
Brook Lopez,28-215,C,11/2/16,BRK,DET,1,29,12,21,0.571,8,13,0.615,4,8,0.5,6,9,0.667,2,9,11,1,2,1,2,2,34,27.6
Isaiah Thomas,28-002,G,2/9/17,BOS,POR,1,38,11,26,0.423,9,15,0.6,2,11,0.182,10,11,0.909,0,1,1,4,1,0,2,1,34,21.5
DeMar DeRozan,27-089,G,11/4/16,TOR,MIA,1,37,14,26,0.538,14,24,0.583,0,2,0,6,6,1,1,3,4,4,0,0,4,2,34,21
Karl-Anthony Towns,21-055,C-F,1/9/17,MIN,DAL,1,37,15,19,0.789,13,16,0.813,2,3,0.667,2,2,1,1,10,11,4,1,3,3,4,34,31.7
Kawhi Leonard,25-204,F,1/19/17,SAS,DEN,1,36,12,22,0.545,10,17,0.588,2,5,0.4,8,8,1,0,5,5,4,2,1,1,1,34,29
Isaiah Thomas,28-045,G,3/24/17,BOS,PHO,1,33,10,20,0.5,7,11,0.636,3,9,0.333,11,11,1,1,1,2,7,0,0,2,2,34,27.1
Danilo Gallinari,28-244,F,4/9/17,DEN,OKC,1,38,12,20,0.6,8,11,0.727,4,9,0.444,6,6,1,0,10,10,3,2,0,2,2,34,29.1
Kawhi Leonard,25-248,F,3/4/17,SAS,MIN,1,44,11,25,0.44,10,20,0.5,1,5,0.2,11,12,0.917,1,9,10,5,6,1,1,1,34,32.7
Kevin Durant,28-079,F-G,12/17/16,GSW,POR,1,31,11,13,0.846,7,8,0.875,4,5,0.8,8,10,0.8,1,10,11,4,2,1,5,2,34,31.9
Kevin Durant,28-135,F-G,2/11/17,GSW,OKC,1,33,12,21,0.571,9,15,0.6,3,6,0.5,7,7,1,1,8,9,3,0,0,3,5,34,24.3
LeBron James,32-079,F-G,3/19/17,CLE,LAL,1,38,13,22,0.591,10,14,0.714,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,2,34,26.5
Anthony Davis,23-242,F-C,11/8/16,NOP,SAC,1,37,14,22,0.636,14,20,0.7,0,2,0,6,7,0.857,1,7,8,1,2,4,3,2,34,28.3
LeBron James,32-091,F-G,3/31/17,CLE,PHI,1,30,14,22,0.636,11,15,0.733,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,2,34,27.9
Damian Lillard,26-182,G,1/13/17,POR,ORL,1,37,12,26,0.462,10,15,0.667,2,11,0.182,8,9,0.889,1,7,8,3,0,0,2,1,34,22.7
Kawhi Leonard,25-133,F,11/9/16,SAS,HOU,1,39,11,26,0.423,7,20,0.35,4,6,0.667,8,8,1,2,5,7,1,1,2,2,1,34,23.8
Kemba Walker,26-294,G,2/26/17,CHO,LAC,1,43,11,19,0.579,5,9,0.556,6,10,0.6,6,8,0.75,0,2,2,2,1,0,3,2,34,23.5
James Harden,27-061,G,10/26/16,HOU,LAL,1,37,9,19,0.474,8,12,0.667,1,7,0.143,15,16,0.938,3,4,7,17,1,0,7,5,34,31.1
John Wall,26-074,G,11/19/16,WAS,MIA,1,37,12,23,0.522,7,17,0.412,5,6,0.833,5,8,0.625,1,2,3,8,0,0,3,3,34,24.2
Damian Lillard,26-228,G,2/28/17,POR,DET,1,41,13,25,0.52,10,17,0.588,3,8,0.375,5,6,0.833,1,10,11,9,1,0,4,2,34,27.5
Tyler Ulis,21-087,G,4/2/17,PHO,HOU,1,45,15,22,0.682,12,15,0.8,3,7,0.429,1,1,1,2,7,9,9,1,0,4,4,34,29.8
Kyle Lowry,30-259,G,12/9/16,TOR,BOS,1,36,9,18,0.5,5,10,0.5,4,8,0.5,12,13,0.923,1,6,7,2,3,0,2,4,34,27.9
Russell Westbrook,28-010,G,11/22/16,OKC,LAL,1,36,13,30,0.433,9,21,0.429,4,9,0.444,4,5,0.8,3,5,8,13,2,0,8,3,34,23.3
Bradley Beal,23-144,G,11/19/16,WAS,MIA,1,40,12,26,0.462,8,15,0.533,4,11,0.364,6,6,1,2,3,5,4,1,0,3,4,34,22.1
Paul George,26-307,F,3/5/17,IND,ATL,1,38,12,19,0.632,6,10,0.6,6,9,0.667,4,5,0.8,0,5,5,4,1,0,5,3,34,24.2
Jrue Holiday,26-225,G,1/23/17,NOP,CLE,1,39,12,19,0.632,8,12,0.667,4,7,0.571,5,5,1,0,6,6,10,3,2,3,5,33,32.7
Jimmy Butler,27-199,G-F,4/1/17,CHI,ATL,1,43,11,20,0.55,10,18,0.556,1,2,0.5,10,10,1,1,4,5,8,0,1,1,3,33,29.4
Dwyane Wade,35-008,G,1/25/17,CHI,ATL,1,31,14,24,0.583,14,23,0.609,0,1,0,5,8,0.625,3,2,5,2,2,1,1,2,33,25.6
Russell Westbrook,28-119,G,3/11/17,OKC,UTA,1,36,9,26,0.346,6,16,0.375,3,10,0.3,12,13,0.923,1,10,11,14,2,2,5,1,33,29.5
Carmelo Anthony,32-257,F,2/10/17,NYK,DEN,1,35,13,20,0.65,7,10,0.7,6,10,0.6,1,2,0.5,1,5,6,4,2,0,2,2,33,28
Paul George,26-272,F,1/29/17,IND,HOU,1,37,13,23,0.565,10,16,0.625,3,7,0.429,4,4,1,0,9,9,3,1,1,2,2,33,25.8
Chris Paul,31-311,G,3/13/17,LAC,UTA,1,35,11,21,0.524,6,10,0.6,5,11,0.455,6,6,1,1,5,6,7,1,0,1,4,33,28.2
Goran Dragic,30-276,G,2/6/17,MIA,MIN,1,35,13,17,0.765,6,8,0.75,7,9,0.778,0,0,,1,1,2,9,1,0,4,4,33,29
Dion Waiters,25-042,G,1/21/17,MIA,MIL,1,33,12,19,0.632,7,11,0.636,5,8,0.625,4,8,0.5,0,3,3,3,1,0,3,1,33,23.5
Kyrie Irving,24-364,G,3/22/17,CLE,DEN,1,27,11,22,0.5,7,17,0.412,4,5,0.8,7,7,1,1,1,2,3,0,0,0,2,33,24.3
DeMarcus Cousins,26-082,C-F,11/3/16,SAC,ORL,1,36,12,20,0.6,11,17,0.647,1,3,0.333,8,9,0.889,1,6,7,4,2,1,2,3,33,28.2
Kyle Lowry,30-312,G,1/31/17,TOR,NOP,1,45,11,21,0.524,5,7,0.714,6,14,0.429,5,7,0.714,0,4,4,10,0,0,3,3,33,25.9
Dennis Schroder,23-085,G,12/9/16,ATL,MIL,1,40,12,19,0.632,8,12,0.667,4,7,0.571,5,5,1,0,3,3,4,1,1,7,4,33,21.3
Russell Westbrook,27-353,G,10/30/16,OKC,LAL,1,34,11,21,0.524,6,15,0.4,5,6,0.833,6,6,1,4,7,11,16,1,1,7,3,33,32.3
Dion Waiters,25-044,G,1/23/17,MIA,GSW,1,33,13,20,0.65,7,12,0.583,6,8,0.75,1,1,1,1,4,5,4,1,0,3,1,33,26.5
John Wall,26-149,G,2/2/17,WAS,LAL,1,41,11,23,0.478,8,16,0.5,3,7,0.429,8,10,0.8,1,2,3,11,2,1,3,2,33,28.4
Kyle Lowry,30-310,G,1/29/17,TOR,ORL,1,38,9,18,0.5,3,9,0.333,6,9,0.667,9,12,0.75,1,4,5,8,1,0,4,2,33,26.5
Damian Lillard,26-239,G,3/11/17,POR,WAS,1,36,13,27,0.481,9,16,0.563,4,11,0.364,3,4,0.75,0,3,3,7,0,0,6,5,33,16.7
Kevin Durant,28-122,F-G,1/29/17,GSW,POR,1,36,13,26,0.5,12,19,0.632,1,7,0.143,6,6,1,2,8,10,6,0,1,7,2,33,20.9
Joel Embiid,22-277,C-F,12/18/16,PHI,BRK,1,27,12,17,0.706,10,14,0.714,2,3,0.667,7,8,0.875,2,8,10,1,2,3,3,2,33,30.3
Damian Lillard,26-196,G,1/27/17,POR,MEM,1,40,9,21,0.429,4,10,0.4,5,11,0.455,10,11,0.909,1,4,5,6,0,0,4,1,33,23.2
Damian Lillard,26-148,G,12/10/16,POR,IND,1,37,10,24,0.417,5,10,0.5,5,14,0.357,8,9,0.889,1,2,3,9,0,0,2,4,33,23.8
Anthony Davis,23-355,F-C,3/1/17,NOP,DET,1,36,11,17,0.647,11,15,0.733,0,2,0,11,11,1,1,13,14,3,0,1,2,2,33,30.1
C.J. McCollum,25-062,G,11/20/16,POR,BRK,1,31,12,19,0.632,6,9,0.667,6,10,0.6,3,3,1,0,4,4,5,0,0,5,5,33,22.2
Isaiah Thomas,28-008,G,2/15/17,BOS,PHI,1,34,9,19,0.474,5,12,0.417,4,7,0.571,11,13,0.846,1,3,4,3,0,0,4,3,33,21
