Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Isaiah Canaan,25-161,G,10/29/16,CHI,IND,0,14,4,6,0.667,1,1,1,3,5,0.6,0,0,,0,0,0,2,1,0,0,1,11,10.4
Eric Gordon,28-108,G,4/12/17,HOU,MIN,0,27,4,12,0.333,1,2,0.5,3,10,0.3,0,0,,1,2,3,2,0,1,0,3,11,6.4
Tony Parker,34-181,G,11/14/16,SAS,MIA,1,26,4,10,0.4,4,9,0.444,0,1,0,3,4,0.75,1,2,3,6,1,0,2,1,11,9.3
Rodney McGruder,25-245,G,3/31/17,MIA,NYK,1,31,5,11,0.455,4,5,0.8,1,6,0.167,0,0,,1,4,5,4,0,0,0,2,11,9.2
Robin Lopez,29-003,C,4/4/17,CHI,NYK,1,33,5,12,0.417,5,12,0.417,0,0,,1,1,1,3,1,4,1,1,2,2,0,11,8.1
Kris Dunn,23-006,G,3/24/17,MIN,LAL,0,35,5,12,0.417,4,7,0.571,1,5,0.2,0,0,,0,7,7,2,3,2,0,3,11,11.3
Noah Vonleh,21-195,F,3/7/17,POR,OKC,1,22,5,6,0.833,5,6,0.833,0,0,,1,2,0.5,4,1,5,2,0,0,1,4,11,10.3
Joe Ingles,29-180,F-G,3/31/17,UTA,WAS,0,31,3,7,0.429,0,2,0,3,5,0.6,2,4,0.5,0,3,3,4,4,0,3,1,11,10.8
Ersan Ilyasova,29-186,F,11/17/16,PHI,MIN,1,21,5,12,0.417,4,8,0.5,1,4,0.25,0,0,,0,3,3,3,0,0,2,1,11,5.2
Nik Stauskas,23-051,G,11/27/16,PHI,CLE,0,25,4,6,0.667,2,2,1,2,4,0.5,1,2,0.5,0,3,3,4,0,0,1,2,11,9.9
Shaun Livingston,31-054,G,11/4/16,GSW,LAL,0,20,5,5,1,5,5,1,0,0,,1,1,1,1,0,1,4,0,0,1,1,11,11.6
Goran Dragic,30-222,G,12/14/16,MIA,IND,1,35,4,15,0.267,4,13,0.308,0,2,0,3,4,0.75,0,5,5,6,2,0,5,2,11,3.6
Thabo Sefolosha,32-207,G-F,11/25/16,ATL,UTA,0,23,4,7,0.571,4,6,0.667,0,1,0,3,4,0.75,3,4,7,2,0,0,0,0,11,12
Alec Burks,25-190,G,1/26/17,UTA,LAL,0,14,5,9,0.556,4,7,0.571,1,2,0.5,0,1,0,0,1,1,1,0,0,0,1,11,6.9
Glenn Robinson,23-056,G-F,3/5/17,IND,ATL,0,23,3,5,0.6,0,0,,3,5,0.6,2,2,1,0,4,4,1,1,1,0,2,11,11.5
Rudy Gay,30-091,F,11/16/16,SAC,SAS,1,32,3,11,0.273,2,9,0.222,1,2,0.5,4,4,1,1,2,3,3,0,1,2,1,11,6.2
Kyle O'Quinn,26-345,F-C,3/6/17,NYK,ORL,0,12,5,6,0.833,5,6,0.833,0,0,,1,2,0.5,4,4,8,1,0,0,1,2,11,11.3
Will Barton,25-337,G,12/8/16,DEN,WAS,1,43,5,13,0.385,4,7,0.571,1,6,0.167,0,0,,2,0,2,3,3,0,1,5,11,7.4
Rudy Gobert,24-177,C,12/20/16,UTA,GSW,1,31,5,6,0.833,5,6,0.833,0,0,,1,3,0.333,2,15,17,1,0,2,2,3,11,12.8
Courtney Lee,31-095,G,1/6/17,NYK,MIL,1,35,3,5,0.6,1,2,0.5,2,3,0.667,3,4,0.75,1,1,2,3,1,1,1,0,11,12.1
Rodney Hood,24-170,G-F,4/8/17,UTA,POR,0,22,3,12,0.25,3,11,0.273,0,1,0,5,6,0.833,1,4,5,1,0,1,0,2,11,5.9
Malcolm Delaney,27-299,G,1/4/17,ATL,ORL,0,20,5,7,0.714,4,6,0.667,1,1,1,0,0,,0,3,3,0,1,0,0,1,11,9.6
Marcus Thornton,29-183,G,12/5/16,WAS,BRK,0,18,4,10,0.4,2,5,0.4,2,5,0.4,1,2,0.5,2,1,3,0,2,2,0,0,11,10.3
Giannis Antetokounmpo,21-336,F-G,11/6/16,MIL,DAL,1,26,4,12,0.333,3,7,0.429,1,5,0.2,2,4,0.5,2,5,7,2,3,2,5,5,11,5.1
Deron Williams,32-197,G,1/9/17,DAL,MIN,1,33,5,9,0.556,4,6,0.667,1,3,0.333,0,0,,1,1,2,7,1,0,3,2,11,9.8
Paul Millsap,32-015,F,2/25/17,ATL,ORL,1,29,3,10,0.3,2,6,0.333,1,4,0.25,4,4,1,0,7,7,2,0,1,3,3,11,5.2
Richard Jefferson,36-255,F,3/3/17,CLE,ATL,0,16,4,7,0.571,1,2,0.5,3,5,0.6,0,0,,0,2,2,0,0,0,2,6,11,3.9
Dragan Bender,19-039,F,12/26/16,PHO,HOU,0,27,5,11,0.455,4,7,0.571,1,4,0.25,0,0,,2,11,13,2,3,2,2,2,11,13
Malcolm Brogdon,24-094,G,3/15/17,MIL,LAC,1,26,5,10,0.5,4,7,0.571,1,3,0.333,0,0,,0,2,2,5,1,0,0,2,11,10.3
Marcus Smart,22-283,G,12/14/16,BOS,SAS,1,37,5,12,0.417,5,8,0.625,0,4,0,1,1,1,1,1,2,6,3,0,3,2,11,9
Manu Ginobili,39-161,G,1/5/17,SAS,DEN,0,18,4,10,0.4,1,4,0.25,3,6,0.5,0,0,,0,3,3,3,1,1,0,3,11,9.1
Trevor Ariza,31-251,F,3/8/17,HOU,UTA,1,37,3,6,0.5,0,1,0,3,5,0.6,2,4,0.5,2,3,5,2,0,0,0,2,11,10.1
Jrue Holiday,26-187,G,12/16/16,NOP,HOU,1,35,5,15,0.333,4,8,0.5,1,7,0.143,0,0,,1,4,5,1,0,1,2,1,11,3.4
Enes Kanter,24-189,C,11/25/16,OKC,DEN,0,19,5,9,0.556,5,7,0.714,0,2,0,1,1,1,1,1,2,1,2,0,0,2,11,9.6
Tony Allen,35-048,G-F,2/28/17,MEM,PHO,1,27,5,7,0.714,5,6,0.833,0,1,0,1,2,0.5,2,2,4,1,1,0,2,1,11,9
Marcus Morris,27-180,F,3/1/17,DET,NOP,1,25,5,12,0.417,4,9,0.444,1,3,0.333,0,2,0,4,1,5,1,1,0,1,3,11,6.4
Jamal Crawford,36-254,G,11/29/16,LAC,BRK,0,35,4,15,0.267,3,11,0.273,1,4,0.25,2,2,1,0,3,3,1,0,0,1,2,11,1.9
Karl-Anthony Towns,20-352,C-F,11/1/16,MIN,MEM,1,30,4,10,0.4,4,10,0.4,0,0,,3,4,0.75,2,9,11,4,0,1,3,1,11,9.4
Devin Booker,20-013,G,11/12/16,PHO,BRK,1,32,5,18,0.278,5,14,0.357,0,4,0,1,1,1,1,5,6,3,1,0,0,2,11,4.9
Marco Belinelli,30-249,G-F,11/29/16,CHO,DET,0,25,4,10,0.4,3,6,0.5,1,4,0.25,2,2,1,0,2,2,2,0,1,0,1,11,7.9
Andre Iguodala,32-278,G-F,11/1/16,GSW,POR,0,24,4,7,0.571,3,6,0.5,1,1,1,2,3,0.667,0,5,5,5,0,0,1,1,11,10.9
Tyler Johnson,24-219,G,12/12/16,MIA,WAS,0,30,5,10,0.5,4,8,0.5,1,2,0.5,0,0,,0,3,3,3,1,0,2,3,11,6.8
Al Horford,30-245,C-F,2/3/17,BOS,LAL,1,31,4,11,0.364,3,7,0.429,1,4,0.25,2,4,0.5,2,6,8,8,0,1,2,2,11,10.8
Taj Gibson,31-162,F,12/3/16,CHI,DAL,1,27,5,8,0.625,5,8,0.625,0,0,,1,2,0.5,1,3,4,1,0,1,2,3,11,6.8
Mike Muscala,25-154,F-C,12/2/16,ATL,DET,0,24,5,7,0.714,4,6,0.667,1,1,1,0,0,,0,0,0,1,2,0,1,3,11,8.6
Andre Drummond,23-238,C,4/5/17,DET,TOR,1,29,4,7,0.571,4,7,0.571,0,0,,3,10,0.3,5,9,14,0,0,0,1,3,11,8.9
J.R. Smith,31-183,G-F,3/11/17,CLE,ORL,0,21,4,8,0.5,1,1,1,3,7,0.429,0,0,,0,1,1,1,0,0,0,0,11,8
Brandon Ingram,19-081,F,11/22/16,LAL,OKC,0,25,4,6,0.667,1,3,0.333,3,3,1,0,0,,0,2,2,3,0,0,4,1,11,6.7
Kent Bazemore,27-122,G-F,10/31/16,ATL,SAC,1,28,3,9,0.333,2,4,0.5,1,5,0.2,4,4,1,0,2,2,1,3,1,0,3,11,9.7
Evan Turner,28-103,G,2/7/17,POR,DAL,1,23,4,7,0.571,3,3,1,1,4,0.25,2,2,1,0,2,2,4,0,0,3,0,11,8.1
Mike Muscala,25-161,F-C,12/9/16,ATL,MIL,0,20,4,6,0.667,1,3,0.333,3,3,1,0,0,,2,1,3,4,0,0,0,0,11,12.9
Jrue Holiday,26-218,G,1/16/17,NOP,IND,1,26,4,9,0.444,2,6,0.333,2,3,0.667,1,2,0.5,1,1,2,6,1,0,5,3,11,5.9
Terrence Ross,25-317,F-G,12/18/16,TOR,ORL,0,23,4,13,0.308,1,5,0.2,3,8,0.375,0,0,,0,2,2,0,1,1,0,1,11,5.4
Zach LaVine,21-320,G,1/24/17,MIN,PHO,1,34,5,9,0.556,4,5,0.8,1,4,0.25,0,2,0,0,1,1,4,2,0,2,2,11,8.2
Dejounte Murray,20-127,G,1/24/17,SAS,TOR,1,23,4,7,0.571,4,7,0.571,0,0,,3,4,0.75,0,3,3,2,0,1,3,4,11,5.7
Danny Green,29-161,G-F,11/30/16,SAS,DAL,1,28,4,8,0.5,2,4,0.5,2,4,0.5,1,2,0.5,1,2,3,2,0,0,0,1,11,8.9
J.J. Barea,32-176,G,12/19/16,DAL,DEN,0,13,5,9,0.556,4,7,0.571,1,2,0.5,0,0,,0,3,3,4,1,0,0,0,11,11.4
Alex Abrines,23-237,G-F,3/26/17,OKC,HOU,0,27,4,10,0.4,1,1,1,3,9,0.333,0,0,,0,0,0,2,3,0,1,2,11,8.2
Jordan McRae,25-308,G,1/30/17,CLE,DAL,0,30,5,9,0.556,4,6,0.667,1,3,0.333,0,0,,0,2,2,0,0,0,1,3,11,5.1
Evan Turner,28-090,G,1/25/17,POR,LAL,1,33,5,10,0.5,5,9,0.556,0,1,0,1,3,0.333,1,2,3,3,1,0,1,1,11,8.2
Myles Turner,20-265,F-C,12/14/16,IND,MIA,1,37,5,13,0.385,5,10,0.5,0,3,0,1,1,1,2,5,7,2,1,5,2,5,11,8.7
Justin Holiday,27-349,G,3/20/17,NYK,LAC,0,27,4,8,0.5,3,5,0.6,1,3,0.333,2,2,1,0,4,4,3,1,1,0,0,11,12
Wesley Johnson,29-219,F-G,2/15/17,LAC,ATL,0,19,4,8,0.5,1,3,0.333,3,5,0.6,0,0,,0,4,4,0,3,1,1,1,11,10.5
Tim Hardaway,24-336,G,2/15/17,ATL,LAC,1,28,5,11,0.455,4,7,0.571,1,4,0.25,0,0,,1,2,3,3,0,0,2,0,11,6.7
Channing Frye,33-168,C-F,11/1/16,CLE,HOU,0,15,4,12,0.333,3,9,0.333,1,3,0.333,2,2,1,1,3,4,0,0,0,0,2,11,5
Marcus Smart,22-364,G,3/5/17,BOS,PHO,0,28,1,5,0.2,1,2,0.5,0,3,0,9,12,0.75,0,3,3,3,1,0,2,4,11,7.1
Amir Johnson,29-192,F,11/9/16,BOS,WAS,1,24,5,5,1,4,4,1,1,1,1,0,0,,1,2,3,1,1,1,1,4,11,10.6
Randy Foye,33-095,G,12/28/16,BRK,CHI,0,28,5,9,0.556,4,5,0.8,1,4,0.25,0,2,0,0,5,5,1,1,0,1,3,11,6.9
Jodie Meeks,29-129,G,12/28/16,ORL,CHO,1,22,5,9,0.556,4,5,0.8,1,4,0.25,0,0,,0,1,1,1,2,0,2,0,11,7.7
Ish Smith,28-123,G,11/5/16,DET,DEN,1,28,5,13,0.385,5,12,0.417,0,1,0,1,2,0.5,1,4,5,8,3,0,2,1,11,11.6
Justise Winslow,20-279,F,12/30/16,MIA,BOS,1,31,5,13,0.385,5,13,0.385,0,0,,1,2,0.5,4,5,9,6,0,1,1,4,11,10.1
Jeff Teague,28-224,G,1/20/17,IND,LAL,1,33,3,9,0.333,2,6,0.333,1,3,0.333,4,4,1,1,2,3,7,1,1,6,1,11,7.4
Norman Powell,23-296,G,3/17/17,TOR,DET,0,19,4,10,0.4,4,7,0.571,0,3,0,3,4,0.75,0,2,2,0,0,0,0,2,11,5
Dwight Howard,31-043,C,1/20/17,ATL,CHI,1,25,3,11,0.273,3,11,0.273,0,0,,5,8,0.625,1,5,6,0,2,0,1,3,11,5.3
Beno Udrih,34-150,G,12/2/16,DET,ATL,0,16,5,6,0.833,5,6,0.833,0,0,,1,1,1,0,2,2,3,0,0,1,1,11,10.1
Tyson Chandler,34-127,C,2/6/17,PHO,NOP,1,24,3,6,0.5,3,6,0.5,0,0,,5,6,0.833,5,8,13,0,0,2,0,2,11,14.1
Otto Porter,23-232,F,1/21/17,WAS,DET,1,34,4,13,0.308,2,7,0.286,2,6,0.333,1,2,0.5,1,6,7,3,2,0,1,2,11,7.9
Marcus Morris,27-117,F,12/28/16,DET,MIL,1,23,3,10,0.3,1,4,0.25,2,6,0.333,3,4,0.75,1,1,2,3,0,0,0,3,11,6.7
Yogi Ferrell,23-268,G,2/1/17,DAL,PHI,1,38,3,13,0.231,3,9,0.333,0,4,0,5,5,1,1,2,3,5,1,1,2,2,11,6.8
Jodie Meeks,29-148,G,1/16/17,ORL,DEN,1,34,4,9,0.444,3,6,0.5,1,3,0.333,2,2,1,1,3,4,4,0,0,3,0,11,7.7
Jon Leuer,27-179,F,11/9/16,DET,PHO,0,24,3,8,0.375,1,4,0.25,2,4,0.5,3,3,1,2,7,9,1,0,0,0,3,11,9.6
Marvin Williams,30-136,F,11/2/16,CHO,PHI,1,30,4,12,0.333,2,5,0.4,2,7,0.286,1,2,0.5,1,7,8,1,2,0,0,3,11,8.1
Hassan Whiteside,27-289,C,3/29/17,MIA,NYK,1,28,5,11,0.455,5,11,0.455,0,0,,1,1,1,1,8,9,1,0,4,1,4,11,9.3
Nik Stauskas,23-110,G,1/25/17,PHI,MIL,1,26,4,7,0.571,1,2,0.5,3,5,0.6,0,0,,0,0,0,2,1,0,1,5,11,7.1
Reggie Jackson,26-342,G,3/24/17,DET,ORL,0,20,5,14,0.357,4,9,0.444,1,5,0.2,0,0,,1,3,4,3,0,1,0,1,11,7.2
Richard Jefferson,36-223,F,1/30/17,CLE,DAL,1,25,4,5,0.8,1,2,0.5,3,3,1,0,0,,1,2,3,0,0,1,0,3,11,9.9
Bruno Caboclo,21-203,F,4/12/17,TOR,CLE,0,17,5,11,0.455,4,8,0.5,1,3,0.333,0,0,,2,2,4,1,0,1,0,1,11,8.3
Trevor Ariza,31-224,F,2/9/17,HOU,CHO,1,42,4,11,0.364,1,1,1,3,10,0.3,0,0,,0,7,7,3,2,2,0,2,11,11.7
Nik Stauskas,23-052,G,11/28/16,PHI,TOR,0,29,4,9,0.444,1,3,0.333,3,6,0.5,0,0,,0,0,0,2,0,0,0,2,11,6.9
Rodney McGruder,25-199,G,2/13/17,MIA,ORL,1,22,5,10,0.5,4,6,0.667,1,4,0.25,0,0,,2,2,4,1,0,0,1,2,11,6.9
Alan Williams,24-036,F-C,3/5/17,PHO,BOS,0,31,5,12,0.417,5,12,0.417,0,0,,1,3,0.333,4,11,15,0,2,1,1,5,11,9.6
Dennis Schroder,23-044,G,10/29/16,ATL,PHI,1,28,4,7,0.571,4,6,0.667,0,1,0,3,4,0.75,0,3,3,11,1,0,2,0,11,14.9
Nerlens Noel,22-331,C-F,3/7/17,DAL,LAL,0,23,4,8,0.5,4,8,0.5,0,0,,3,4,0.75,3,10,13,1,0,3,0,1,11,14.1
Draymond Green,26-259,F,11/18/16,GSW,BOS,1,35,3,11,0.273,1,5,0.2,2,6,0.333,3,4,0.75,1,7,8,8,1,2,1,3,11,12.7
Andre Iguodala,33-066,G-F,4/4/17,GSW,MIN,0,23,4,4,1,3,3,1,1,1,1,2,2,1,0,2,2,3,0,0,1,3,11,10.3
Channing Frye,33-290,C-F,3/3/17,CLE,ATL,1,25,4,7,0.571,1,1,1,3,6,0.5,0,0,,1,3,4,1,0,1,1,3,11,8.5
Wayne Ellington,29-133,G,3/11/17,MIA,TOR,0,19,3,8,0.375,0,0,,3,8,0.375,2,2,1,0,3,3,0,1,0,1,1,11,7.1
Anthony Tolliver,31-202,F-C,12/20/16,SAC,POR,0,34,3,5,0.6,0,1,0,3,4,0.75,2,2,1,1,3,4,0,0,0,0,3,11,9.1
K.J. McDaniels,24-040,G-F,3/21/17,BRK,DET,0,21,4,8,0.5,2,4,0.5,2,4,0.5,1,2,0.5,0,2,2,1,0,1,3,1,11,5.2
Cody Zeller,24-107,F-C,1/20/17,CHO,TOR,1,23,4,6,0.667,4,6,0.667,0,0,,3,4,0.75,2,1,3,1,0,0,1,2,11,8.6
Otto Porter,23-313,F,4/12/17,WAS,MIA,1,15,4,8,0.5,4,6,0.667,0,2,0,3,3,1,1,5,6,0,0,0,0,2,11,8.4
Zach LaVine,21-252,G,11/17/16,MIN,PHI,1,39,5,14,0.357,4,7,0.571,1,7,0.143,0,0,,1,0,1,1,1,1,2,0,11,4.3
Monta Ellis,31-126,G,3/1/17,IND,SAS,0,24,5,9,0.556,5,8,0.625,0,1,0,1,4,0.25,1,2,3,2,2,0,3,2,11,6.4
Nik Stauskas,23-131,G,2/15/17,PHI,BOS,0,28,3,8,0.375,2,2,1,1,6,0.167,4,6,0.667,1,5,6,1,0,0,2,1,11,6.3
Josh Richardson,23-110,G,1/3/17,MIA,PHO,1,37,5,16,0.313,4,11,0.364,1,5,0.2,0,0,,0,2,2,3,2,2,3,2,11,4.1
Jeff Teague,28-157,G,11/14/16,IND,ORL,1,29,4,9,0.444,3,6,0.5,1,3,0.333,2,2,1,0,8,8,5,1,3,1,3,11,13.1
Marcus Thornton,29-178,G,11/30/16,WAS,OKC,0,17,4,7,0.571,3,4,0.75,1,3,0.333,2,2,1,1,2,3,0,0,0,0,1,11,8.6
Eric Bledsoe,27-034,G,1/12/17,PHO,DAL,1,28,2,4,0.5,2,4,0.5,0,0,,7,7,1,1,5,6,5,1,1,4,5,11,10.4
Matthew Dellavedova,26-054,G,11/1/16,MIL,NOP,1,29,4,8,0.5,2,4,0.5,2,4,0.5,1,1,1,0,4,4,8,2,0,1,3,11,13.6
Brandon Ingram,19-175,F,2/24/17,LAL,OKC,1,39,4,12,0.333,3,7,0.429,1,5,0.2,2,5,0.4,1,4,5,4,1,0,1,3,11,6.5
Luc Mbah a Moute,30-066,F,11/14/16,LAC,BRK,1,24,5,5,1,5,5,1,0,0,,1,1,1,0,2,2,0,1,0,0,2,11,10.3
Draymond Green,26-318,F,1/16/17,GSW,CLE,1,35,4,6,0.667,4,6,0.667,0,0,,3,4,0.75,2,11,13,11,1,5,0,1,11,24.5
Glenn Robinson,23-059,G-F,3/8/17,IND,DET,0,19,4,8,0.5,3,5,0.6,1,3,0.333,2,3,0.667,0,4,4,0,1,0,0,0,11,8.8
Iman Shumpert,26-209,G,1/21/17,CLE,SAS,1,38,4,8,0.5,1,3,0.333,3,5,0.6,0,0,,1,2,3,2,2,0,1,1,11,10.3
Derrick Favors,25-185,F-C,1/16/17,UTA,PHO,1,24,5,11,0.455,5,11,0.455,0,0,,1,3,0.333,3,1,4,1,1,1,1,1,11,7.9
Kris Dunn,22-289,G,1/1/17,MIN,POR,0,21,5,7,0.714,4,6,0.667,1,1,1,0,0,,0,3,3,4,1,3,2,3,11,11.7
Solomon Hill,26-009,F,3/27/17,NOP,UTA,1,37,4,6,0.667,2,3,0.667,2,3,0.667,1,3,0.333,3,5,8,0,0,1,0,2,11,11.1
Michael Kidd-Gilchrist,23-056,F,11/21/16,CHO,MEM,1,32,4,7,0.571,4,7,0.571,0,0,,3,7,0.429,5,5,10,4,0,0,2,3,11,10.7
Tristan Thompson,25-291,F-C,12/29/16,CLE,BOS,1,32,5,9,0.556,5,8,0.625,0,1,0,1,2,0.5,3,6,9,1,0,0,1,1,11,9.5
Steven Adams,23-106,C,11/3/16,OKC,GSW,1,24,5,7,0.714,5,7,0.714,0,0,,1,2,0.5,3,1,4,1,2,2,1,3,11,12
Otto Porter,23-180,F,11/30/16,WAS,OKC,1,39,5,9,0.556,4,7,0.571,1,2,0.5,0,0,,0,8,8,1,3,0,1,3,11,10.6
Jamal Murray,19-351,G,2/8/17,DEN,ATL,0,22,4,9,0.444,3,4,0.75,1,5,0.2,2,2,1,1,4,5,0,0,1,0,2,11,8.1
Aaron Gordon,21-152,F,2/15/17,ORL,SAS,1,33,3,9,0.333,3,7,0.429,0,2,0,5,5,1,2,4,6,2,0,1,2,1,11,8.2
Rudy Gobert,24-250,C,3/3/17,UTA,BRK,1,33,4,4,1,4,4,1,0,0,,3,6,0.5,0,7,7,0,0,2,2,3,11,8.9
Lucas Nogueira,24-130,C,12/3/16,TOR,ATL,0,23,5,5,1,5,5,1,0,0,,1,1,1,3,5,8,1,2,3,0,1,11,17.5
Dirk Nowitzki,38-194,F,12/30/16,DAL,GSW,1,23,3,12,0.25,3,9,0.333,0,3,0,5,5,1,0,5,5,1,0,1,3,2,11,2.9
Delon Wright,24-321,G,3/13/17,TOR,DAL,0,20,4,8,0.5,3,5,0.6,1,3,0.333,2,2,1,0,4,4,3,1,1,0,1,11,11.6
DeMarre Carroll,30-226,F,3/10/17,TOR,ATL,1,33,3,9,0.333,3,6,0.5,0,3,0,5,7,0.714,3,4,7,1,4,2,0,4,11,12.9
Jamal Murray,20-003,G,2/26/17,DEN,MEM,0,16,5,9,0.556,4,7,0.571,1,2,0.5,0,0,,0,4,4,1,0,0,0,3,11,7.4
Monta Ellis,31-002,G,10/28/16,IND,BRK,1,33,5,12,0.417,5,12,0.417,0,0,,1,2,0.5,1,1,2,4,2,0,4,5,11,4
Cody Zeller,24-052,F-C,11/26/16,CHO,NYK,1,25,2,7,0.286,2,7,0.286,0,0,,7,12,0.583,5,5,10,2,1,2,0,5,11,11.7
Rodney McGruder,25-120,G,11/26/16,MIA,MEM,1,34,5,10,0.5,4,6,0.667,1,4,0.25,0,0,,2,2,4,2,0,1,1,2,11,8.3
Shabazz Napier,25-118,G,11/9/16,POR,LAC,0,21,4,10,0.4,3,4,0.75,1,6,0.167,2,3,0.667,0,2,2,2,2,0,0,0,11,9.2
Toney Douglas,30-331,G,2/10/17,MEM,GSW,0,18,3,8,0.375,2,4,0.5,1,4,0.25,4,4,1,0,1,1,1,0,0,2,4,11,4
Toney Douglas,30-267,G,12/8/16,MEM,POR,0,27,3,6,0.5,2,4,0.5,1,2,0.5,4,4,1,0,1,1,3,0,0,0,1,11,10
Kyle Singler,28-342,F,4/11/17,OKC,MIN,1,28,4,12,0.333,3,8,0.375,1,4,0.25,2,2,1,0,4,4,0,0,0,0,3,11,4.2
Justin Holiday,27-286,G,1/16/17,NYK,ATL,0,23,5,10,0.5,5,7,0.714,0,3,0,1,2,0.5,1,3,4,0,0,0,0,0,11,7.2
Mirza Teletovic,31-178,F,3/15/17,MIL,LAC,0,20,3,9,0.333,0,1,0,3,8,0.375,2,2,1,0,1,1,1,1,1,0,2,11,7.8
Enes Kanter,24-291,C,3/7/17,OKC,POR,0,18,5,6,0.833,5,6,0.833,0,0,,1,1,1,2,5,7,1,0,0,4,1,11,8
D.J. Augustin,29-089,G,2/7/17,ORL,HOU,0,24,1,5,0.2,0,2,0,1,3,0.333,8,12,0.667,1,2,3,3,0,0,1,0,11,8.7
Ryan Anderson,28-266,F,1/27/17,HOU,PHI,1,42,3,11,0.273,0,2,0,3,9,0.333,2,2,1,1,4,5,0,0,0,2,5,11,2.4
Mario Hezonja,21-354,F-G,2/13/17,ORL,MIA,0,16,4,6,0.667,1,3,0.333,3,3,1,0,0,,0,1,1,1,1,0,1,1,11,9
Jonas Valanciunas,24-224,C,12/16/16,TOR,ATL,1,26,5,5,1,5,5,1,0,0,,1,2,0.5,1,5,6,2,2,0,3,4,11,10.1
DeMarre Carroll,30-251,F,4/4/17,TOR,IND,1,27,3,5,0.6,0,0,,3,5,0.6,2,2,1,0,1,1,0,1,0,2,2,11,7.2
Nikola Vucevic,26-005,C,10/29/16,ORL,CLE,1,25,5,8,0.625,5,8,0.625,0,0,,1,2,0.5,2,7,9,1,0,0,4,2,11,6.4
Jonas Valanciunas,24-259,C,1/20/17,TOR,CHO,1,25,5,8,0.625,5,8,0.625,0,0,,1,1,1,3,3,6,1,1,1,2,3,11,9.6
Marvin Williams,30-174,F,12/10/16,CHO,CLE,1,30,5,13,0.385,4,8,0.5,1,5,0.2,0,1,0,1,4,5,1,0,0,0,4,11,4.5
Nene Hilario,34-047,F-C,10/30/16,HOU,DAL,0,22,5,6,0.833,5,6,0.833,0,0,,1,1,1,0,3,3,1,0,0,1,3,11,8.2
Joe Ingles,29-073,F-G,12/14/16,UTA,OKC,0,21,4,5,0.8,1,2,0.5,3,3,1,0,0,,0,4,4,3,0,0,0,3,11,11.2
Trevor Ariza,31-146,F,11/23/16,HOU,TOR,1,31,4,11,0.364,1,2,0.5,3,9,0.333,0,0,,2,0,2,3,1,0,0,4,11,7.8
Courtney Lee,31-185,G,4/6/17,NYK,WAS,1,31,5,12,0.417,4,8,0.5,1,4,0.25,0,0,,3,5,8,3,5,0,1,0,11,14.3
Tristan Thompson,26-005,F-C,3/18/17,CLE,LAC,1,31,5,6,0.833,5,6,0.833,0,0,,1,2,0.5,3,3,6,0,1,0,0,2,11,11.6
Brandon Knight,25-050,G,1/21/17,PHO,NYK,0,20,5,12,0.417,4,8,0.5,1,4,0.25,0,0,,1,4,5,2,1,0,1,2,11,7.1
Kristaps Porzingis,21-224,F-C,3/14/17,NYK,IND,1,25,5,17,0.294,4,11,0.364,1,6,0.167,0,0,,2,1,3,3,1,3,2,1,11,5.6
Thaddeus Young,28-190,F,12/28/16,IND,WAS,1,35,5,10,0.5,5,6,0.833,0,4,0,1,3,0.333,3,3,6,3,6,0,4,5,11,10.3
Joe Young,24-124,G,10/29/16,IND,CHI,0,20,4,7,0.571,2,4,0.5,2,3,0.667,1,1,1,0,2,2,3,0,0,0,0,11,10.4
Gerald Henderson,28-341,G,11/14/16,PHI,HOU,1,28,4,8,0.5,3,7,0.429,1,1,1,2,2,1,1,0,1,3,3,1,0,1,11,13.1
Zach Randolph,35-223,F,2/24/17,MEM,IND,0,26,4,13,0.308,4,12,0.333,0,1,0,3,5,0.6,2,6,8,0,0,1,1,0,11,5.6
Rodney Hood,24-129,G-F,2/26/17,UTA,WAS,1,27,2,7,0.286,0,3,0,2,4,0.5,5,5,1,0,3,3,2,2,1,2,4,11,8.3
Bojan Bogdanovic,27-327,G-F,3/11/17,WAS,POR,0,19,4,9,0.444,2,5,0.4,2,4,0.5,1,2,0.5,0,2,2,0,0,0,1,1,11,5.1
Pascal Siakam,22-298,F,11/28/16,TOR,PHI,1,23,4,6,0.667,4,6,0.667,0,0,,3,4,0.75,0,2,2,0,1,1,1,2,11,8.5
Steven Adams,23-232,C,3/9/17,OKC,SAS,1,29,5,8,0.625,5,8,0.625,0,0,,1,5,0.2,3,3,6,0,1,0,1,2,11,8
Alan Williams,24-050,F-C,3/19/17,PHO,DET,0,26,4,11,0.364,4,11,0.364,0,0,,3,5,0.6,0,12,12,2,2,1,0,3,11,10.6
Jerryd Bayless,28-097,G,11/25/16,PHI,CHI,1,26,4,10,0.4,3,9,0.333,1,1,1,2,2,1,1,3,4,2,0,0,2,1,11,6.2
J.J. Barea,32-264,G,3/17/17,DAL,PHI,0,17,4,10,0.4,2,6,0.333,2,4,0.5,1,2,0.5,1,0,1,4,0,0,3,1,11,5.3
Patrick Beverley,28-167,G,12/26/16,HOU,PHO,1,26,4,10,0.4,1,6,0.167,3,4,0.75,0,0,,0,7,7,2,3,0,2,4,11,8.5
