,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
58,James Harden,27-067,G,11/1/16,HOU,@,CLE,L,1,38,13,20,0.65,8,11,0.727,5,9,0.556,10,14,0.714,1,6,7
59,Kawhi Leonard,25-206,F,1/21/17,SAS,@,CLE,W,1,46,15,30,0.5,12,22,0.545,3,8,0.375,8,8,1,0,6,6
60,Kyle Lowry,30-282,G,1/1/17,TOR,@,LAL,W,1,39,12,16,0.75,6,9,0.667,6,7,0.857,11,11,1,1,8,9
61,Isaiah Thomas,27-349,G,1/21/17,BOS,,POR,L,1,44,14,28,0.5,10,17,0.588,4,11,0.364,9,11,0.818,1,2,3
62,Isaiah Thomas,27-358,G,1/30/17,BOS,,DET,W,1,37,11,23,0.478,7,12,0.583,4,11,0.364,15,15,1,0,0,0
63,Karl-Anthony Towns,21-032,F-C,12/17/16,MIN,,HOU,L,1,43,15,28,0.536,14,24,0.583,1,4,0.25,10,12,0.833,2,14,16
64,Russell Westbrook,28-106,G,2/26/17,OKC,,NOP,W,1,37,14,29,0.483,12,21,0.571,2,8,0.25,11,12,0.917,2,9,11
65,Russell Westbrook,28-001,G,11/13/16,OKC,,ORL,L,1,38,14,21,0.667,14,18,0.778,0,3,0,13,18,0.722,2,10,12
66,Andrew Wiggins,21-357,F-G,2/14/17,MIN,,CLE,L,1,41,16,29,0.552,12,21,0.571,4,8,0.5,5,6,0.833,1,2,3
67,Andrew Wiggins,21-318,F-G,1/6/17,MIN,@,WAS,L,1,39,16,30,0.533,15,27,0.556,1,3,0.333,8,10,0.8,1,0,1
68,Bradley Beal,23-241,G,2/24/17,WAS,@,PHI,L,1,42,15,25,0.6,13,17,0.765,2,8,0.25,8,10,0.8,0,4,4
69,Eric Bledsoe,27-044,G,1/22/17,PHO,@,TOR,W,1,42,11,17,0.647,7,10,0.7,4,7,0.571,14,14,1,0,6,6
70,Jimmy Butler,27-105,G-F,12/28/16,CHI,,BRK,W,1,38,14,29,0.483,13,27,0.481,1,2,0.5,11,11,1,6,4,10
71,Jimmy Butler,27-067,G-F,11/20/16,CHI,@,LAL,W,1,40,14,23,0.609,14,22,0.636,0,1,0,12,14,0.857,4,3,7
72,Jimmy Butler,27-133,G-F,1/25/17,CHI,,ATL,L,1,40,13,22,0.591,9,14,0.643,4,8,0.5,10,10,1,2,2,4
73,DeMarcus Cousins,26-185,C-F,2/14/17,SAC,@,LAL,W,1,36,13,24,0.542,11,17,0.647,2,7,0.286,12,19,0.632,2,10,12
74,Stephen Curry,28-298,G,1/6/17,GSW,,MEM,L,1,42,15,27,0.556,10,14,0.714,5,13,0.385,5,5,1,0,3,3
75,Anthony Davis,23-304,F-C,1/9/17,NOP,@,NYK,W,1,29,14,22,0.636,13,21,0.619,1,1,1,11,12,0.917,4,14,18
76,DeMar DeRozan,27-087,G,11/2/16,TOR,@,WAS,W,1,37,14,23,0.609,13,21,0.619,1,2,0.5,11,16,0.688,1,4,5
77,DeMar DeRozan,27-080,G,10/26/16,TOR,,DET,W,1,34,17,27,0.63,17,25,0.68,0,2,0,6,6,1,1,3,4
78,Kevin Durant,28-111,F-G,1/18/17,GSW,,OKC,W,1,34,13,16,0.813,8,9,0.889,5,7,0.714,9,10,0.9,2,10,12
79,James Harden,27-169,G,2/11/17,HOU,,PHO,W,1,29,9,17,0.529,1,2,0.5,8,15,0.533,14,16,0.875,1,5,6
80,James Harden,27-137,G,1/10/17,HOU,,CHO,W,1,38,11,24,0.458,4,10,0.4,7,14,0.5,11,14,0.786,1,14,15
81,James Harden,27-135,G,1/8/17,HOU,@,TOR,W,1,38,13,26,0.5,9,17,0.529,4,9,0.444,10,10,1,3,7,10
82,James Harden,27-204,G,3/18/17,HOU,@,DEN,W,1,37,11,23,0.478,8,15,0.533,3,8,0.375,15,17,0.882,0,10,10
83,James Harden,27-144,G,1/17/17,HOU,@,MIA,L,1,39,12,30,0.4,8,15,0.533,4,15,0.267,12,13,0.923,1,11,12
84,Nikola Jokic,21-357,C-F,2/10/17,DEN,@,NYK,W,1,37,17,23,0.739,15,20,0.75,2,3,0.667,4,5,0.8,4,5,9
85,Zach LaVine,21-288,G,12/23/16,MIN,,SAC,L,1,39,13,21,0.619,6,9,0.667,7,12,0.583,7,7,1,0,6,6
86,Damian Lillard,26-131,G,11/23/16,POR,@,CLE,L,1,38,13,21,0.619,8,14,0.571,5,7,0.714,9,9,1,0,7,7
87,Damian Lillard,26-153,G,12/15/16,POR,@,DEN,L,1,38,13,22,0.591,9,14,0.643,4,8,0.5,10,11,0.909,0,3,3
88,Kevin Love,28-077,F,11/23/16,CLE,,POR,W,1,32,12,20,0.6,4,8,0.5,8,12,0.667,8,8,1,4,4,8
89,D'Angelo Russell,21-024,G,3/19/17,LAL,,CLE,L,1,41,14,22,0.636,7,10,0.7,7,12,0.583,5,7,0.714,0,2,2
90,Kemba Walker,26-187,G,11/11/16,CHO,,TOR,L,1,35,12,19,0.632,5,7,0.714,7,12,0.583,9,11,0.818,1,9,10
91,Andrew Wiggins,21-358,F-G,2/15/17,MIN,@,DEN,W,1,38,15,26,0.577,13,22,0.591,2,4,0.5,8,11,0.727,1,3,4
92,Lou Williams,30-037,G,12/3/16,LAL,@,MEM,L,0,32,11,20,0.55,7,12,0.583,4,8,0.5,14,14,1,0,2,2
93,Giannis Antetokounmpo,22-017,F-G,12/23/16,MIL,,WAS,W,1,33,12,19,0.632,12,18,0.667,0,1,0,15,17,0.882,1,7,8
94,Devin Booker,20-076,G,1/14/17,PHO,,SAS,W,1,37,12,22,0.545,9,17,0.529,3,5,0.6,12,12,1,2,0,2
95,Devin Booker,20-007,G,11/6/16,PHO,@,LAL,L,1,45,13,29,0.448,10,22,0.455,3,7,0.429,10,10,1,1,2,3
96,Devin Booker,20-074,G,1/12/17,PHO,,DAL,L,1,37,14,20,0.7,8,13,0.615,6,7,0.857,5,7,0.714,0,1,1
97,Jimmy Butler,27-056,G-F,11/9/16,CHI,@,ATL,L,1,39,13,24,0.542,9,15,0.6,4,9,0.444,9,12,0.75,1,3,4
98,Stephen Curry,28-324,G,2/1/17,GSW,,CHO,W,1,30,14,20,0.7,3,5,0.6,11,15,0.733,0,0,,1,4,5
99,Anthony Davis,23-351,F-C,2/25/17,NOP,@,DAL,L,1,39,17,34,0.5,16,30,0.533,1,4,0.25,4,9,0.444,3,11,14
100,Kevin Durant,28-035,F-G,11/3/16,GSW,,OKC,W,1,31,15,24,0.625,8,13,0.615,7,11,0.636,2,3,0.667,1,6,7
101,Kevin Durant,28-035,F-G,11/3/16,GSW,,OKC,W,1,31,15,24,0.625,8,13,0.615,7,11,0.636,2,3,0.667,1,6,7
102,Paul George,26-317,F,3/15/17,IND,,CHO,W,1,33,15,21,0.714,9,11,0.818,6,10,0.6,3,3,1,1,4,5
103,James Harden,27-192,G,3/6/17,HOU,@,SAS,L,1,36,13,20,0.65,7,11,0.636,6,9,0.667,7,8,0.875,1,2,3
104,James Harden,27-206,G,3/20/17,HOU,,DEN,W,1,40,13,29,0.448,9,18,0.5,4,11,0.364,9,11,0.818,1,6,7
105,Kyrie Irving,24-249,G,11/27/16,CLE,@,PHI,W,1,41,14,27,0.519,9,16,0.563,5,11,0.455,6,6,1,1,3,4
106,Kawhi Leonard,25-250,F,3/6/17,SAS,,HOU,W,1,39,12,18,0.667,8,13,0.615,4,5,0.8,11,11,1,0,6,6
