,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
10330,Jonas Jerebko,29-262,F,11/19/16,BOS,@,DET,W,0,18,3,4,0.75,0,1,0,3,3,1,0,0,,1,5,6
10331,Jonas Jerebko,29-289,F,12/16/16,BOS,,CHO,W,0,25,4,8,0.5,3,3,1,1,5,0.2,0,0,,1,2,3
10332,Amir Johnson,29-231,F,12/18/16,BOS,@,MIA,W,1,20,4,5,0.8,3,4,0.75,1,1,1,0,0,,2,2,4
10333,Amir Johnson,29-197,F,11/14/16,BOS,@,NOP,L,1,27,3,7,0.429,2,4,0.5,1,3,0.333,2,2,1,2,3,5
10334,Amir Johnson,29-238,F,12/25/16,BOS,@,NYK,W,1,24,3,6,0.5,3,6,0.5,0,0,,3,4,0.75,4,1,5
10335,Amir Johnson,29-320,F,3/17/17,BOS,@,BRK,W,1,23,3,5,0.6,3,3,1,0,2,0,3,4,0.75,0,2,2
10336,James Johnson,29-271,F,11/17/16,MIA,,MIL,W,0,30,4,9,0.444,3,5,0.6,1,4,0.25,0,2,0,2,8,10
10337,James Johnson,29-338,F,1/23/17,MIA,,GSW,W,0,27,4,8,0.5,3,6,0.5,1,2,0.5,0,0,,1,1,2
10338,James Johnson,29-275,F,11/21/16,MIA,@,PHI,L,0,17,3,7,0.429,3,4,0.75,0,3,0,3,4,0.75,2,1,3
10339,Joe Johnson,35-131,G-F,11/7/16,UTA,@,PHI,W,0,22,4,8,0.5,3,6,0.5,1,2,0.5,0,0,,2,3,5
10340,Joe Johnson,35-143,G-F,11/19/16,UTA,@,HOU,L,0,22,4,8,0.5,3,4,0.75,1,4,0.25,0,0,,0,3,3
10341,Joe Johnson,35-141,G-F,11/17/16,UTA,,CHI,L,0,22,3,4,0.75,2,2,1,1,2,0.5,2,2,1,0,5,5
10342,Stanley Johnson,20-231,F,1/15/17,DET,@,LAL,W,0,34,4,9,0.444,3,6,0.5,1,3,0.333,0,0,,0,4,4
10343,Stanley Johnson,20-237,F,1/21/17,DET,,WAS,W,0,16,4,4,1,3,3,1,1,1,1,0,0,,0,0,0
10344,Tyler Johnson,24-210,G,12/3/16,MIA,@,POR,L,0,34,3,14,0.214,1,9,0.111,2,5,0.4,1,2,0.5,1,6,7
10345,Wesley Johnson,29-196,F-G,1/23/17,LAC,@,ATL,W,0,19,4,7,0.571,3,5,0.6,1,2,0.5,0,0,,2,6,8
10346,Nikola Jokic,21-278,C-F,11/23/16,DEN,@,UTA,L,0,23,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,1,4,5
10347,Nikola Jokic,21-261,C-F,11/6/16,DEN,@,BOS,W,1,22,4,5,0.8,4,4,1,0,1,0,1,1,1,0,5,5
10348,Nikola Jokic,21-305,C-F,12/20/16,DEN,@,LAC,L,1,21,4,7,0.571,4,5,0.8,0,2,0,1,2,0.5,2,4,6
10349,James Jones,36-064,F-G,12/7/16,CLE,@,NYK,W,0,8,3,3,1,0,0,,3,3,1,0,0,,0,0,0
10350,James Jones,36-052,F-G,11/25/16,CLE,,DAL,W,0,6,3,3,1,0,0,,3,3,1,0,0,,0,0,0
10351,Terrence Jones,25-005,F,1/14/17,NOP,@,CHI,L,1,34,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,1,7,8
10352,Terrence Jones,24-330,F,12/4/16,NOP,@,OKC,L,0,25,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,1,6,7
10353,Terrence Jones,24-344,F,12/18/16,NOP,@,SAS,L,0,17,3,5,0.6,3,5,0.6,0,0,,3,6,0.5,1,1,2
10354,Tyus Jones,20-257,G,1/22/17,MIN,,DEN,W,0,19,3,8,0.375,2,7,0.286,1,1,1,2,3,0.667,0,0,0
10355,DeAndre Jordan,28-136,C,12/4/16,LAC,,IND,L,1,35,3,3,1,3,3,1,0,0,,3,5,0.6,4,11,15
10356,DeAndre Jordan,28-165,C,1/2/17,LAC,,PHO,W,1,31,3,6,0.5,3,6,0.5,0,0,,3,8,0.375,7,13,20
10357,DeAndre Jordan,28-200,C,2/6/17,LAC,@,TOR,L,1,25,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,2,10,12
10358,DeAndre Jordan,28-133,C,12/1/16,LAC,@,CLE,W,1,30,4,8,0.5,4,8,0.5,0,0,,1,3,0.333,8,7,15
10359,DeAndre Jordan,28-163,C,12/31/16,LAC,@,OKC,L,1,27,4,5,0.8,4,5,0.8,0,0,,1,2,0.5,3,8,11
10360,DeAndre Jordan,28-196,C,2/2/17,LAC,,GSW,L,1,25,2,2,1,2,2,1,0,0,,5,8,0.625,0,7,7
10361,DeAndre Jordan,28-144,C,12/12/16,LAC,,POR,W,1,33,3,6,0.5,3,6,0.5,0,0,,3,4,0.75,6,6,12
10362,Cory Joseph,25-097,G,11/25/16,TOR,@,MIL,W,0,27,4,11,0.364,3,8,0.375,1,3,0.333,0,0,,1,3,4
10363,Cory Joseph,25-209,G,3/17/17,TOR,@,DET,W,1,36,3,10,0.3,2,5,0.4,1,5,0.2,2,2,1,0,7,7
10364,Cory Joseph,25-087,G,11/15/16,TOR,@,CLE,L,0,18,4,7,0.571,4,6,0.667,0,1,0,1,2,0.5,0,1,1
10365,Cory Joseph,25-205,G,3/13/17,TOR,,DAL,W,1,26,4,10,0.4,3,6,0.5,1,4,0.25,0,0,,1,0,1
10366,Frank Kaminsky,23-311,F-C,2/9/17,CHO,,HOU,L,0,20,3,9,0.333,3,6,0.5,0,3,0,3,3,1,0,3,3
10367,Frank Kaminsky,23-257,F-C,12/17/16,CHO,@,ATL,W,0,18,4,7,0.571,3,4,0.75,1,3,0.333,0,0,,0,2,2
10368,Frank Kaminsky,23-268,F-C,12/28/16,CHO,@,ORL,W,0,26,3,11,0.273,2,5,0.4,1,6,0.167,2,2,1,1,2,3
10369,Michael Kidd-Gilchrist,23-114,F,1/18/17,CHO,,POR,W,1,31,3,7,0.429,3,7,0.429,0,0,,3,4,0.75,1,4,5
10370,Michael Kidd-Gilchrist,23-124,F,1/28/17,CHO,,SAC,L,1,19,3,5,0.6,3,5,0.6,0,0,,3,4,0.75,1,5,6
10371,Michael Kidd-Gilchrist,23-060,F,11/25/16,CHO,@,NYK,L,1,29,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,0,2,2
10372,Michael Kidd-Gilchrist,23-175,F,3/20/17,CHO,,ATL,W,1,21,4,8,0.5,4,8,0.5,0,0,,1,2,0.5,1,1,2
10373,Sean Kilpatrick,27-063,G,3/10/17,BRK,@,DAL,L,0,24,3,11,0.273,2,3,0.667,1,8,0.125,2,2,1,0,2,2
10374,Brandon Knight,24-333,G,10/30/16,PHO,,GSW,L,0,26,3,12,0.25,2,9,0.222,1,3,0.333,2,2,1,1,0,1
10375,Kyle Korver,35-265,G-F,12/7/16,ATL,,MIA,W,0,34,3,9,0.333,1,3,0.333,2,6,0.333,1,1,1,0,3,3
10376,Kyle Korver,35-308,G-F,1/19/17,CLE,,PHO,W,0,25,3,10,0.3,0,1,0,3,9,0.333,0,0,,0,5,5
10377,Kyle Korver,35-351,G-F,3/3/17,CLE,@,ATL,W,0,30,3,8,0.375,0,1,0,3,7,0.429,0,0,,0,2,2
10378,Kosta Koufos,28-022,C,3/18/17,SAC,@,OKC,L,1,23,3,8,0.375,3,8,0.375,0,0,,3,4,0.75,2,4,6
10379,Kosta Koufos,27-345,C,2/3/17,SAC,,PHO,L,1,16,4,6,0.667,4,6,0.667,0,0,,1,1,1,1,4,5
10380,Kosta Koufos,27-273,C,11/23/16,SAC,,OKC,W,0,17,4,7,0.571,4,7,0.571,0,0,,1,1,1,4,6,10
10381,Kosta Koufos,27-338,C,1/27/17,SAC,@,IND,L,1,28,4,6,0.667,4,6,0.667,0,0,,1,4,0.25,2,10,12
10382,Mindaugas Kuzminskas,27-105,F,2/1/17,NYK,@,BRK,W,0,17,4,10,0.4,3,8,0.375,1,2,0.5,0,0,,3,2,5
10383,Mindaugas Kuzminskas,27-075,F,1/2/17,NYK,,ORL,L,0,16,3,6,0.5,0,3,0,3,3,1,0,0,,0,1,1
10384,Mindaugas Kuzminskas,27-133,F,3/1/17,NYK,@,ORL,W,0,15,2,7,0.286,1,4,0.25,1,3,0.333,4,4,1,3,4,7
10385,Mindaugas Kuzminskas,27-088,F,1/15/17,NYK,@,TOR,L,0,23,3,8,0.375,2,3,0.667,1,5,0.2,2,2,1,1,1,2
10386,Jeremy Lamb,24-219,G-F,1/4/17,CHO,,OKC,W,0,12,3,4,0.75,2,3,0.667,1,1,1,2,3,0.667,0,1,1
10387,Joffrey Lauvergne,25-138,C-F,2/15/17,OKC,,NYK,W,0,17,3,8,0.375,2,6,0.333,1,2,0.5,2,2,1,0,2,2
10388,Joffrey Lauvergne,25-044,C-F,11/13/16,OKC,,ORL,L,0,15,3,4,0.75,0,1,0,3,3,1,0,0,,0,1,1
10389,Joffrey Lauvergne,25-074,C-F,12/13/16,OKC,@,POR,L,0,16,3,7,0.429,2,5,0.4,1,2,0.5,2,2,1,3,0,3
10390,Zach LaVine,21-315,G,1/19/17,MIN,@,LAC,W,1,40,3,13,0.231,2,7,0.286,1,6,0.167,2,2,1,0,6,6
10391,Ty Lawson,28-358,G,10/26/16,SAC,@,PHO,W,1,36,3,9,0.333,2,5,0.4,1,4,0.25,2,2,1,3,3,6
10392,Jake Layman,22-247,F,11/9/16,POR,@,LAC,L,0,16,4,8,0.5,3,3,1,1,5,0.2,0,0,,0,1,1
10393,Courtney Lee,31-073,G,12/15/16,NYK,@,GSW,L,1,33,4,11,0.364,4,8,0.5,0,3,0,1,2,0.5,0,4,4
10394,Courtney Lee,31-096,G,1/7/17,NYK,@,IND,L,1,28,3,9,0.333,2,6,0.333,1,3,0.333,2,2,1,0,4,4
10395,Courtney Lee,31-107,G,1/18/17,NYK,@,BOS,W,0,38,4,8,0.5,3,5,0.6,1,3,0.333,0,0,,2,6,8
10396,Courtney Lee,31-064,G,12/6/16,NYK,@,MIA,W,1,30,4,7,0.571,3,6,0.5,1,1,1,0,0,,1,6,7
10397,Courtney Lee,31-132,G,2/12/17,NYK,,SAS,W,1,35,4,9,0.444,3,7,0.429,1,2,0.5,0,0,,1,4,5
10398,David Lee,33-223,F,12/8/16,SAS,@,CHI,L,0,21,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,2,2,4
10399,David Lee,33-240,F,12/25/16,SAS,,CHI,W,0,16,4,5,0.8,4,5,0.8,0,0,,1,1,1,0,2,2
10400,Alex Len,23-150,C,11/13/16,PHO,@,GSW,L,1,18,4,5,0.8,4,5,0.8,0,0,,1,1,1,1,5,6
10401,Alex Len,23-174,C,12/7/16,PHO,,IND,L,0,16,2,5,0.4,2,5,0.4,0,0,,5,5,1,1,1,2
10402,Alex Len,23-150,C,11/13/16,PHO,@,GSW,L,1,18,4,5,0.8,4,5,0.8,0,0,,1,1,1,1,5,6
10403,Alex Len,23-188,C,12/21/16,PHO,,HOU,L,0,24,4,5,0.8,4,5,0.8,0,0,,1,2,0.5,0,5,5
10404,Alex Len,23-201,C,1/3/17,PHO,,MIA,W,0,16,4,7,0.571,4,7,0.571,0,0,,1,2,0.5,2,6,8
10405,Alex Len,23-274,C,3/17/17,PHO,,ORL,L,1,28,3,12,0.25,3,12,0.25,0,0,,3,4,0.75,4,6,10
10406,Meyers Leonard,25-005,C-F,3/4/17,POR,,BRK,W,0,18,4,4,1,3,3,1,1,1,1,0,0,,1,2,3
10407,Meyers Leonard,24-284,C-F,12/7/16,POR,@,MIL,L,0,15,3,6,0.5,0,1,0,3,5,0.6,0,0,,0,3,3
10408,Meyers Leonard,25-015,C-F,3/14/17,POR,@,NOP,L,0,25,3,8,0.375,0,3,0,3,5,0.6,0,0,,1,6,7
10409,Jon Leuer,27-206,F,12/6/16,DET,,CHI,W,0,23,3,6,0.5,3,5,0.6,0,1,0,3,4,0.75,1,4,5
10410,Jon Leuer,27-228,F,12/28/16,DET,,MIL,L,1,29,4,11,0.364,3,9,0.333,1,2,0.5,0,0,,3,4,7
10411,Jon Leuer,27-165,F,10/26/16,DET,@,TOR,L,0,23,3,8,0.375,2,6,0.333,1,2,0.5,2,2,1,1,8,9
10412,Caris LeVert,22-169,G-F,2/10/17,BRK,,MIA,L,0,19,4,7,0.571,3,6,0.5,1,1,1,0,1,0,1,2,3
10413,Caris LeVert,22-167,G-F,2/8/17,BRK,,WAS,L,0,26,2,6,0.333,1,3,0.333,1,3,0.333,4,6,0.667,1,4,5
10414,Caris LeVert,22-120,G-F,12/23/16,BRK,@,CLE,L,0,24,2,7,0.286,0,2,0,2,5,0.4,3,4,0.75,1,6,7
10415,Caris LeVert,22-149,G-F,1/21/17,BRK,@,CHO,L,0,18,2,4,0.5,2,2,1,0,2,0,5,6,0.833,0,1,1
10416,DeAndre Liggins,28-317,G,2/11/17,CLE,,DEN,W,1,22,3,4,0.75,2,2,1,1,2,0.5,2,2,1,0,5,5
10417,Jeremy Lin,28-186,G,2/25/17,BRK,@,GSW,L,1,15,4,9,0.444,3,6,0.5,1,3,0.333,0,0,,0,0,0
10418,Shaun Livingston,31-091,G,12/11/16,GSW,@,MIN,W,0,19,4,5,0.8,4,5,0.8,0,0,,1,1,1,0,4,4
10419,Shaun Livingston,31-115,G,1/4/17,GSW,,POR,W,0,18,4,6,0.667,4,6,0.667,0,0,,1,1,1,1,3,4
10420,Brook Lopez,28-330,C,2/25/17,BRK,@,GSW,L,1,31,3,13,0.231,1,7,0.143,2,6,0.333,1,4,0.25,0,4,4
10421,Robin Lopez,28-295,C,1/21/17,CHI,,SAC,W,1,29,4,8,0.5,4,8,0.5,0,0,,1,2,0.5,4,4,8
10422,Timothe Luwawu-Cabarrot,21-273,F,2/6/17,PHI,@,DET,L,0,21,2,4,0.5,2,3,0.667,0,1,0,5,5,1,0,5,5
10423,Timothe Luwawu-Cabarrot,21-271,F,2/4/17,PHI,@,MIA,L,0,26,3,8,0.375,2,4,0.5,1,4,0.25,2,3,0.667,1,0,1
10424,Timothe Luwawu-Cabarrot,21-269,F,2/2/17,PHI,@,SAS,L,0,30,3,10,0.3,2,7,0.286,1,3,0.333,2,2,1,1,1,2
10425,Timothe Luwawu-Cabarrot,21-291,F,2/24/17,PHI,,WAS,W,0,18,2,3,0.667,1,1,1,1,2,0.5,4,4,1,0,0,0
10426,Timothe Luwawu-Cabarrot,21-306,F,3/11/17,PHI,@,LAC,L,1,33,3,8,0.375,2,3,0.667,1,5,0.2,2,2,1,1,4,5
10427,Trey Lyles,21-033,F,12/8/16,UTA,,GSW,L,0,23,4,13,0.308,3,7,0.429,1,6,0.167,0,0,,2,4,6
10428,Trey Lyles,21-079,F,1/23/17,UTA,,OKC,L,0,17,3,9,0.333,1,6,0.167,2,3,0.667,1,2,0.5,0,4,4
10429,Trey Lyles,21-030,F,12/5/16,UTA,@,LAL,W,0,25,4,10,0.4,3,7,0.429,1,3,0.333,0,0,,1,1,2
10430,Trey Lyles,21-061,F,1/5/17,UTA,@,TOR,L,0,12,3,6,0.5,0,2,0,3,4,0.75,0,0,,1,1,2
10431,Shelvin Mack,26-189,G,10/28/16,UTA,,LAL,W,0,23,4,8,0.5,4,7,0.571,0,1,0,1,2,0.5,0,4,4
10432,Shelvin Mack,26-203,G,11/11/16,UTA,@,ORL,W,0,26,3,9,0.333,2,6,0.333,1,3,0.333,2,2,1,1,5,6
10433,Shelvin Mack,26-249,G,12/27/16,UTA,@,LAL,W,1,33,4,8,0.5,4,5,0.8,0,3,0,1,3,0.333,0,1,1
10434,Shelvin Mack,26-221,G,11/29/16,UTA,,HOU,W,0,20,4,5,0.8,3,3,1,1,2,0.5,0,0,,0,0,0
10435,Ian Mahinmi,30-125,C,3/10/17,WAS,@,SAC,W,0,22,4,5,0.8,4,5,0.8,0,0,,1,2,0.5,3,4,7
10436,Thon Maker,20-021,F-C,3/18/17,MIL,@,GSW,L,1,13,3,5,0.6,3,3,1,0,2,0,3,4,0.75,3,2,5
10437,Jarell Martin,22-168,F,11/8/16,MEM,,DEN,W,0,17,3,4,0.75,2,3,0.667,1,1,1,2,2,1,1,2,3
10438,Wesley Matthews,30-025,G,11/8/16,DAL,@,LAL,W,1,38,4,10,0.4,3,6,0.5,1,4,0.25,0,0,,1,2,3
10439,Wesley Matthews,30-110,G,2/1/17,DAL,,PHI,W,1,31,3,9,0.333,2,5,0.4,1,4,0.25,2,2,1,0,6,6
10440,Wesley Matthews,30-023,G,11/6/16,DAL,,MIL,W,1,44,3,17,0.176,0,3,0,3,14,0.214,0,0,,0,1,1
10441,Wesley Matthews,30-085,G,1/7/17,DAL,,ATL,L,1,33,3,12,0.25,0,5,0,3,7,0.429,0,0,,0,4,4
10442,Wesley Matthews,30-147,G,3/10/17,DAL,,BRK,W,1,33,2,11,0.182,1,5,0.2,1,6,0.167,4,4,1,0,7,7
10443,Wesley Matthews,30-066,G,12/19/16,DAL,@,DEN,L,1,36,3,11,0.273,1,5,0.2,2,6,0.333,1,1,1,0,0,0
10444,Wesley Matthews,30-083,G,1/5/17,DAL,,PHO,L,1,36,3,12,0.25,2,4,0.5,1,8,0.125,2,2,1,0,2,2
10445,Wesley Matthews,30-035,G,11/18/16,DAL,,MEM,L,1,31,3,10,0.3,1,3,0.333,2,7,0.286,1,1,1,0,2,2
10446,Wesley Matthews,30-142,G,3/5/17,DAL,,OKC,W,1,32,3,8,0.375,2,4,0.5,1,4,0.25,2,2,1,0,0,0
10447,Wesley Matthews,30-136,G,2/27/17,DAL,,MIA,W,1,34,1,4,0.25,0,2,0,1,2,0.5,6,6,1,0,4,4
10448,Luc Mbah a Moute,30-117,F,1/4/17,LAC,,MEM,W,1,28,3,5,0.6,2,4,0.5,1,1,1,2,3,0.667,1,3,4
10449,Luc Mbah a Moute,30-187,F,3/15/17,LAC,,MIL,L,1,19,4,5,0.8,4,5,0.8,0,0,,1,1,1,0,1,1
10450,James Michael McAdoo,24-076,F,3/21/17,GSW,@,DAL,W,0,5,1,1,1,1,1,1,0,0,,7,8,0.875,0,2,2
10451,Patrick McCaw,21-132,G,3/6/17,GSW,@,ATL,W,1,27,3,6,0.5,0,2,0,3,4,0.75,0,0,,2,5,7
10452,Patrick McCaw,21-123,G,2/25/17,GSW,,BRK,W,1,25,3,7,0.429,2,2,1,1,5,0.2,2,2,1,0,4,4
10453,Patrick McCaw,21-041,G,12/5/16,GSW,,IND,W,0,15,3,8,0.375,0,2,0,3,6,0.5,0,0,,2,2,4
10454,C.J. McCollum,25-046,G,11/4/16,POR,@,DAL,W,1,23,4,11,0.364,3,6,0.5,1,5,0.2,0,1,0,1,4,5
10455,T.J. McConnell,24-351,G,3/11/17,PHI,@,LAC,L,1,30,4,9,0.444,3,5,0.6,1,4,0.25,0,0,,0,1,1
10456,T.J. McConnell,24-229,G,11/9/16,PHI,@,IND,L,0,21,4,7,0.571,4,4,1,0,3,0,1,2,0.5,0,1,1
10457,T.J. McConnell,24-311,G,1/30/17,PHI,,SAC,W,1,34,4,8,0.5,4,8,0.5,0,0,,1,1,1,0,2,2
10458,T.J. McConnell,24-287,G,1/6/17,PHI,@,BOS,L,1,37,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,0,4,4
10459,T.J. McConnell,24-305,G,1/24/17,PHI,,LAC,W,1,28,4,9,0.444,4,8,0.5,0,1,0,1,1,1,0,0,0
10460,K.J. McDaniels,23-262,G-F,10/28/16,HOU,@,DAL,W,0,22,4,7,0.571,3,3,1,1,4,0.25,0,0,,1,1,2
10461,K.J. McDaniels,24-035,G-F,3/16/17,BRK,@,NYK,W,0,18,2,5,0.4,1,3,0.333,1,2,0.5,4,5,0.8,1,4,5
10462,Doug McDermott,25-024,F,1/27/17,CHI,,MIA,L,1,24,3,6,0.5,2,4,0.5,1,2,0.5,2,2,1,0,5,5
10463,Doug McDermott,25-058,F,3/2/17,OKC,@,POR,L,0,37,4,12,0.333,3,6,0.5,1,6,0.167,0,0,,1,3,4
10464,JaVale McGee,29-009,C,1/28/17,GSW,,LAC,W,0,10,4,5,0.8,4,5,0.8,0,0,,1,1,1,2,1,3
10465,JaVale McGee,28-321,C,12/5/16,GSW,,IND,W,0,15,4,8,0.5,4,7,0.571,0,1,0,1,2,0.5,5,3,8
10466,JaVale McGee,28-349,C,1/2/17,GSW,,DEN,W,0,9,4,4,1,4,4,1,0,0,,1,3,0.333,1,3,4
10467,JaVale McGee,28-329,C,12/13/16,GSW,@,NOP,W,1,16,4,5,0.8,4,5,0.8,0,0,,1,2,0.5,1,4,5
10468,JaVale McGee,29-013,C,2/1/17,GSW,,CHO,W,1,17,4,7,0.571,4,7,0.571,0,0,,1,1,1,1,3,4
10469,Rodney McGruder,25-182,G,1/27/17,MIA,@,CHI,W,1,28,3,4,0.75,2,3,0.667,1,1,1,2,2,1,0,4,4
10470,Rodney McGruder,25-091,G,10/28/16,MIA,,CHO,L,0,20,3,9,0.333,0,4,0,3,5,0.6,0,0,,1,1,2
10471,Rodney McGruder,25-125,G,12/1/16,MIA,@,UTA,W,1,36,2,4,0.5,1,2,0.5,1,2,0.5,4,4,1,1,4,5
10472,Ben McLemore,23-286,G,11/23/16,SAC,,OKC,W,0,17,4,10,0.4,3,7,0.429,1,3,0.333,0,0,,0,2,2
10473,Ben McLemore,24-004,G,2/15/17,SAC,@,GSW,L,1,33,3,10,0.3,0,4,0,3,6,0.5,0,0,,0,4,4
10474,Ben McLemore,23-300,G,12/7/16,SAC,@,DAL,W,1,21,3,11,0.273,2,5,0.4,1,6,0.167,2,2,1,0,1,1
10475,Jordan McRae,25-246,G,11/29/16,CLE,@,MIL,L,0,11,4,7,0.571,3,5,0.6,1,2,0.5,0,0,,2,1,3
10476,Jordan McRae,25-261,G,12/14/16,CLE,@,MEM,L,0,16,3,9,0.333,3,6,0.5,0,3,0,3,3,1,0,1,1
10477,Jordan McRae,25-233,G,11/16/16,CLE,@,IND,L,0,24,3,12,0.25,1,9,0.111,2,3,0.667,1,2,0.5,0,0,0
10478,Jodie Meeks,29-211,G,3/20/17,ORL,,PHI,W,0,20,1,9,0.111,1,6,0.167,0,3,0,7,9,0.778,0,4,4
10479,Jodie Meeks,29-108,G,12/7/16,ORL,,BOS,L,0,16,3,7,0.429,2,4,0.5,1,3,0.333,2,2,1,0,0,0
10480,Jodie Meeks,29-124,G,12/23/16,ORL,,LAL,W,1,27,3,11,0.273,2,5,0.4,1,6,0.167,2,2,1,0,5,5
10481,Khris Middleton,25-196,F-G,2/24/17,MIL,,UTA,L,0,24,2,9,0.222,1,7,0.143,1,2,0.5,4,4,1,1,2,3
10482,C.J. Miles,29-231,G-F,12/5/16,IND,@,GSW,L,0,18,3,6,0.5,1,1,1,2,5,0.4,1,1,1,0,3,3
10483,C.J. Miles,29-283,G-F,1/26/17,IND,@,MIN,W,1,29,3,5,0.6,0,1,0,3,4,0.75,0,0,,0,6,6
10484,C.J. Miles,29-315,G-F,2/27/17,IND,@,HOU,W,1,17,3,7,0.429,0,2,0,3,5,0.6,0,0,,0,1,1
10485,C.J. Miles,29-331,G-F,3/15/17,IND,,CHO,W,1,18,3,6,0.5,2,2,1,1,4,0.25,2,2,1,0,1,1
10486,C.J. Miles,29-194,G-F,10/29/16,IND,@,CHI,L,0,20,4,11,0.364,3,9,0.333,1,2,0.5,0,0,,0,1,1
10487,C.J. Miles,29-275,G-F,1/18/17,IND,@,SAC,W,0,21,3,8,0.375,1,2,0.5,2,6,0.333,1,3,0.333,1,1,2
10488,C.J. Miles,29-291,G-F,2/3/17,IND,@,BRK,W,1,30,3,10,0.3,0,2,0,3,8,0.375,0,0,,0,4,4
10489,Mike Miller,36-265,F-G,11/10/16,DEN,,GSW,L,0,9,3,4,0.75,0,0,,3,4,0.75,0,0,,0,1,1
10490,Patty Mills,28-186,G,2/13/17,SAS,@,IND,W,0,18,3,8,0.375,0,2,0,3,6,0.5,0,0,,0,0,0
10491,Patty Mills,28-199,G,2/26/17,SAS,@,LAL,W,0,17,4,8,0.5,3,4,0.75,1,4,0.25,0,0,,0,2,2
10492,Paul Millsap,31-291,F,11/27/16,ATL,@,LAL,L,1,30,4,11,0.364,3,7,0.429,1,4,0.25,0,0,,1,4,5
10493,Paul Millsap,31-357,F,2/1/17,ATL,@,MIA,L,1,24,4,12,0.333,4,9,0.444,0,3,0,1,1,1,2,5,7
10494,Nikola Mirotic,25-349,F,1/25/17,CHI,,ATL,L,0,18,3,11,0.273,2,6,0.333,1,5,0.2,2,2,1,0,3,3
10495,Nikola Mirotic,25-303,F,12/10/16,CHI,,MIA,W,0,22,4,6,0.667,3,3,1,1,3,0.333,0,0,,0,5,5
10496,Nikola Mirotic,25-301,F,12/8/16,CHI,,SAS,W,0,22,4,8,0.5,3,3,1,1,5,0.2,0,0,,0,6,6
10497,Nikola Mirotic,25-361,F,2/6/17,CHI,@,SAC,W,0,25,3,11,0.273,0,2,0,3,9,0.333,0,0,,0,3,3
10498,Greg Monroe,26-290,C-F,3/21/17,MIL,@,POR,W,0,22,4,12,0.333,4,12,0.333,0,0,,1,2,0.5,6,3,9
10499,Greg Monroe,26-231,C-F,1/21/17,MIL,@,MIA,L,0,17,3,7,0.429,3,7,0.429,0,0,,3,4,0.75,3,3,6
10500,E'Twaun Moore,27-325,G,1/18/17,NOP,,ORL,W,0,26,4,7,0.571,3,5,0.6,1,2,0.5,0,0,,0,1,1
10501,E'Twaun Moore,27-304,G,12/28/16,NOP,,LAC,W,0,20,4,7,0.571,3,4,0.75,1,3,0.333,0,0,,0,3,3
10502,E'Twaun Moore,27-339,G,2/1/17,NOP,@,DET,L,0,28,4,8,0.5,3,6,0.5,1,2,0.5,0,0,,0,2,2
10503,E'Twaun Moore,28-017,G,3/17/17,NOP,,HOU,W,0,26,3,9,0.333,2,5,0.4,1,4,0.25,2,2,1,0,5,5
10504,E'Twaun Moore,27-287,G,12/11/16,NOP,@,PHO,W,0,22,3,7,0.429,1,3,0.333,2,4,0.5,1,2,0.5,0,2,2
10505,Marcus Morris,27-130,F,1/10/17,DET,@,SAC,L,1,31,4,11,0.364,3,7,0.429,1,4,0.25,0,0,,1,2,3
10506,Marcus Morris,27-106,F,12/17/16,DET,,IND,L,1,34,4,7,0.571,3,4,0.75,1,3,0.333,0,0,,0,1,1
10507,Anthony Morrow,31-077,G,12/13/16,OKC,@,POR,L,0,20,4,11,0.364,3,6,0.5,1,5,0.2,0,0,,1,1,2
10508,Anthony Morrow,31-091,G,12/27/16,OKC,@,MIA,W,1,20,3,7,0.429,2,2,1,1,5,0.2,2,2,1,0,0,0
10509,Timofey Mozgov,30-164,C,12/27/16,LAL,,UTA,L,1,26,3,8,0.375,3,8,0.375,0,0,,3,4,0.75,4,0,4
10510,Timofey Mozgov,30-194,C,1/26/17,LAL,@,UTA,L,1,17,4,9,0.444,4,9,0.444,0,0,,1,2,0.5,2,7,9
10511,Emmanuel Mudiay,20-313,G,1/12/17,DEN,,IND,W,1,22,3,7,0.429,1,2,0.5,2,5,0.4,1,2,0.5,0,2,2
10512,Emmanuel Mudiay,20-272,G,12/2/16,DEN,,HOU,L,1,29,3,12,0.25,2,6,0.333,1,6,0.167,2,2,1,1,2,3
10513,Emmanuel Mudiay,20-296,G,12/26/16,DEN,@,LAC,W,1,18,3,7,0.429,1,2,0.5,2,5,0.4,1,2,0.5,0,2,2
10514,Emmanuel Mudiay,20-361,G,3/1/17,DEN,@,MIL,W,0,18,4,9,0.444,3,6,0.5,1,3,0.333,0,0,,0,4,4
10515,Shabazz Muhammad,23-351,F-G,10/29/16,MIN,@,SAC,L,0,11,3,3,1,3,3,1,0,0,,3,3,1,0,1,1
