,PLAYER,POS,DATE,MP,PTS,GMSC
10466,Kevin Martin,SG,1/13/16,29,22,14.7
11247,Kevin Martin,SG,11/25/15,23,11,2.7
11623,Kevin Martin,SG,2/19/16,13,12,5.4
11817,Kevin Martin,SG,1/17/16,16,11,8.2
12069,Kevin Martin,SG,4/10/16,19,9,4.6
12416,Kevin Martin,SG,12/7/15,14,0,-1.9
12458,Kevin Martin,SG,11/29/15,23,2,-0.4
13593,Kevin Martin,SG,12/9/15,40,37,24.9
13622,Kevin Martin,SG,12/5/15,24,11,9.3
13840,Kevin Martin,SG,3/17/16,21,8,6.4
14010,Kevin Martin,SG,1/19/16,13,2,-3.8
14258,Kevin Martin,SG,11/18/15,21,12,10.8
14284,Kevin Martin,SG,11/9/15,24,13,6.8
14298,Kevin Martin,SG,11/2/15,35,24,14.3
14340,Kevin Martin,SG,10/30/15,21,14,9.1
14826,Kevin Martin,SG,4/12/16,15,0,-1.5
15363,Kevin Martin,SG,12/15/15,22,2,-1.9
15629,Kevin Martin,SG,10/28/15,29,23,14
16032,Kevin Martin,SG,12/1/15,23,16,9.8
16427,Kevin Martin,SG,12/20/15,18,16,13
16471,Kevin Martin,SG,12/11/15,41,22,14.5
16576,Kevin Martin,SG,11/20/15,22,8,6.3
16592,Kevin Martin,SG,11/10/15,40,18,6.6
16772,Kevin Martin,SG,3/10/16,8,1,1.6
16891,Kevin Martin,SG,1/6/16,16,9,4.4
17368,Kevin Martin,SG,3/15/16,12,6,2.2
17851,Kevin Martin,SG,11/23/15,32,11,5.2
18481,Kevin Martin,SG,1/20/16,14,9,6.2
18693,Kevin Martin,SG,11/13/15,13,2,-1.6
19117,Kevin Martin,SG,11/17/15,23,8,3.3
19171,Kevin Martin,SG,4/8/16,26,17,12.1
19345,Kevin Martin,SG,1/10/16,12,9,3.3
21174,Kevin Martin,SG,11/5/15,27,14,5.5
21225,Kevin Martin,SG,3/30/16,14,2,1.9
21243,Kevin Martin,SG,3/23/16,15,12,9.3
21629,Kevin Martin,SG,3/21/16,10,7,6.3
22471,Kevin Martin,SG,1/8/16,13,2,2.1
23977,Kevin Martin,SG,3/28/16,22,1,-0.6
24247,Kevin Martin,SG,11/15/15,18,8,4.5
24405,Kevin Martin,SG,1/23/16,14,11,9.3
25051,Kevin Martin,SG,3/25/16,34,13,4.6
25640,Kevin Martin,SG,4/13/16,24,7,0.7
,Kevin Martin Var,,,,56.71178451,
1240,Kevin Seraphin,PF,3/16/16,19,12,10.8
6401,Kevin Seraphin,PF,11/8/15,8,0,0.6
8573,Kevin Seraphin,PF,2/2/16,4,2,0
8626,Kevin Seraphin,PF,1/26/16,16,8,6.9
9649,Kevin Seraphin,PF,2/9/16,15,8,4.6
10229,Kevin Seraphin,PF,3/9/16,4,2,2
10404,Kevin Seraphin,PF,1/22/16,13,6,2.3
10837,Kevin Seraphin,PF,3/19/16,14,6,6.3
11312,Kevin Seraphin,PF,11/20/15,11,0,-1.7
11588,Kevin Seraphin,PF,3/8/16,14,2,-1.6
12645,Kevin Seraphin,PF,3/24/16,10,2,2.7
13169,Kevin Seraphin,PF,11/4/15,10,4,2.3
14722,Kevin Seraphin,PF,11/15/15,14,12,10.1
14907,Kevin Seraphin,PF,3/28/16,11,4,1
15596,Kevin Seraphin,PF,11/2/15,5,2,0.5
16169,Kevin Seraphin,PF,3/26/16,7,0,-0.4
16186,Kevin Seraphin,PF,3/23/16,12,2,3.8
16285,Kevin Seraphin,PF,2/7/16,10,2,2.3
16564,Kevin Seraphin,PF,11/21/15,7,2,2
17294,Kevin Seraphin,PF,4/1/16,22,12,7.6
17667,Kevin Seraphin,PF,1/12/16,2,0,0
18187,Kevin Seraphin,PF,11/11/15,3,2,1.4
18418,Kevin Seraphin,PF,1/23/16,8,0,0
18858,Kevin Seraphin,PF,3/30/16,14,6,5.7
19245,Kevin Seraphin,PF,2/19/16,5,0,-1.4
19307,Kevin Seraphin,PF,1/28/16,15,4,0.8
19383,Kevin Seraphin,PF,1/1/16,12,4,2.7
19504,Kevin Seraphin,PF,12/16/15,7,3,2.4
19973,Kevin Seraphin,PF,12/21/15,8,2,0.9
20358,Kevin Seraphin,PF,12/7/15,16,6,4.2
20411,Kevin Seraphin,PF,11/29/15,32,14,12.3
20576,Kevin Seraphin,PF,4/12/16,11,4,4.4
21491,Kevin Seraphin,PF,11/10/15,8,2,-1
21536,Kevin Seraphin,PF,11/6/15,4,0,0.3
21593,Kevin Seraphin,PF,4/6/16,3,0,-0.4
21862,Kevin Seraphin,PF,12/18/15,5,2,0.5
21915,Kevin Seraphin,PF,11/17/15,21,10,8.7
22035,Kevin Seraphin,PF,4/3/16,23,6,1.5
22216,Kevin Seraphin,PF,12/23/15,5,0,-1.1
22993,Kevin Seraphin,PF,11/25/15,8,0,-2.5
23393,Kevin Seraphin,PF,2/5/16,3,2,-0.4
23862,Kevin Seraphin,PF,12/9/15,9,2,1.3
24185,Kevin Seraphin,PF,12/4/15,14,4,2.4
24954,Kevin Seraphin,PF,12/2/15,17,8,8.1
25215,Kevin Seraphin,PF,11/23/15,5,2,-0.5
25417,Kevin Seraphin,PF,12/5/15,24,4,4.1
25664,Kevin Seraphin,PF,1/16/16,5,2,2
25765,Kevin Seraphin,PF,11/27/15,17,10,3.5
,Kevin Seraphin Var,,,,13.96764184,
227,Kevon Looney,PF,2/20/16,2,0,-0.4
420,Kevon Looney,PF,2/19/16,9,2,5
558,Kevon Looney,PF,2/25/16,2,2,0
1315,Kevon Looney,PF,2/10/16,2,3,2
3826,Kevon Looney,PF,1/27/16,6,2,1.9
,Kevon Looney Var,,,,1.2,
1408,Khris Middleton,SG,3/6/16,40,18,12.1
2912,Khris Middleton,SG,3/4/16,34,32,26
2959,Khris Middleton,SG,2/29/16,44,30,31.4
2992,Khris Middleton,SG,2/25/16,42,21,18.6
3745,Khris Middleton,SG,2/11/16,40,27,29.4
3795,Khris Middleton,SG,2/1/16,34,14,3.6
5112,Khris Middleton,SG,3/7/16,43,18,7.2
5486,Khris Middleton,SG,3/12/16,41,19,21.2
5591,Khris Middleton,SG,1/22/16,43,21,12
6174,Khris Middleton,SG,2/22/16,35,18,14.9
6258,Khris Middleton,SG,12/18/15,38,16,10.6
6491,Khris Middleton,SG,3/30/16,34,26,18
6957,Khris Middleton,SG,11/25/15,24,21,16.5
7144,Khris Middleton,SG,4/11/16,35,17,13.3
8298,Khris Middleton,SG,4/1/16,38,18,17.6
8384,Khris Middleton,SG,3/13/16,39,19,19.9
9019,Khris Middleton,SG,2/9/16,38,20,11.6
9724,Khris Middleton,SG,1/13/16,42,25,17.1
10156,Khris Middleton,SG,3/23/16,37,9,12.8
10500,Khris Middleton,SG,12/29/15,37,36,28.9
10813,Khris Middleton,SG,3/21/16,32,27,19.3
10907,Khris Middleton,SG,3/2/16,38,23,15
10954,Khris Middleton,SG,2/20/16,48,12,7
11114,Khris Middleton,SG,1/15/16,46,26,18.2
11899,Khris Middleton,SG,12/12/15,38,7,5.1
12040,Khris Middleton,SG,4/10/16,43,36,29.7
12126,Khris Middleton,SG,3/15/16,31,12,11
12230,Khris Middleton,SG,2/2/16,39,21,11.7
13413,Khris Middleton,SG,1/8/16,39,27,19.8
13890,Khris Middleton,SG,2/27/16,40,26,19.4
14102,Khris Middleton,SG,1/2/16,36,13,7.6
14618,Khris Middleton,SG,12/20/15,40,26,21.3
15145,Khris Middleton,SG,1/23/16,33,22,14.6
15188,Khris Middleton,SG,1/12/16,41,16,14
16069,Khris Middleton,SG,11/10/15,37,13,7.1
16675,Khris Middleton,SG,4/13/16,8,0,-1.1
16724,Khris Middleton,SG,3/25/16,36,10,4.1
17033,Khris Middleton,SG,12/28/15,36,15,3.8
17111,Khris Middleton,SG,11/29/15,37,19,14.1
17317,Khris Middleton,SG,3/26/16,24,13,9
17341,Khris Middleton,SG,3/17/16,30,10,3.1
17465,Khris Middleton,SG,2/19/16,39,20,12.9
17672,Khris Middleton,SG,1/5/16,38,26,18.8
17687,Khris Middleton,SG,12/31/15,37,33,28.2
18225,Khris Middleton,PF,11/1/15,29,8,-1.2
18594,Khris Middleton,SG,12/9/15,39,9,1.7
18770,Khris Middleton,SG,10/30/15,39,18,13
19065,Khris Middleton,SG,12/7/15,41,14,8.2
19211,Khris Middleton,SG,3/9/16,40,22,18.2
19559,Khris Middleton,SG,11/30/15,31,10,5.9
19582,Khris Middleton,SG,11/27/15,34,15,17
20001,Khris Middleton,SG,12/15/15,34,16,11.6
20150,Khris Middleton,SG,1/16/16,36,24,18.4
20503,Khris Middleton,SG,11/17/15,27,14,7
20680,Khris Middleton,SG,1/10/16,38,20,7.8
20716,Khris Middleton,SG,12/16/15,41,15,14.9
20906,Khris Middleton,SG,1/26/16,36,25,22.6
21505,Khris Middleton,SG,11/6/15,38,13,7.8
21797,Khris Middleton,SG,12/23/15,31,21,24.8
22751,Khris Middleton,SG,11/11/15,42,13,8.8
22784,Khris Middleton,SG,11/4/15,36,21,12.4
23004,Khris Middleton,SG,11/14/15,42,11,5.8
23045,Khris Middleton,SG,10/28/15,35,11,-0.5
23070,Khris Middleton,SG,1/29/16,39,9,0.8
23207,Khris Middleton,SG,11/2/15,39,17,15.5
23719,Khris Middleton,SG,1/28/16,32,15,13.7
23790,Khris Middleton,SG,12/26/15,37,20,14.9
23922,Khris Middleton,SG,11/19/15,32,15,9.3
24223,Khris Middleton,SG,11/21/15,28,8,3.7
24461,Khris Middleton,SG,1/4/16,34,19,12.6
24576,Khris Middleton,SG,12/4/15,34,21,14.3
24637,Khris Middleton,SG,11/7/15,33,14,17.4
24705,Khris Middleton,SG,1/19/16,36,22,19.8
24787,Khris Middleton,SG,12/11/15,43,26,19.1
24979,Khris Middleton,SG,11/23/15,23,16,15.6
25315,Khris Middleton,SG,3/20/16,30,13,7.6
25421,Khris Middleton,SG,12/5/15,32,7,3.7
25608,Khris Middleton,SG,2/5/16,40,18,5.2
25733,Khris Middleton,SG,12/2/15,30,16,10.9
,Khris Middleton Var,,,,48.46381045,
2820,Kirk Hinrich,PG,3/19/16,1,0,-0.7
4846,Kirk Hinrich,PG,2/3/16,19,3,5.9
6441,Kirk Hinrich,PG,4/13/16,3,0,0
6605,Kirk Hinrich,PG,3/17/16,15,0,1
8772,Kirk Hinrich,PG,11/20/15,34,17,11
9016,Kirk Hinrich,PG,2/26/16,2,0,-0.7
9444,Kirk Hinrich,PG,3/23/16,2,0,1.7
11046,Kirk Hinrich,PG,2/5/16,16,0,-3.3
11193,Kirk Hinrich,PG,12/25/15,17,2,1.6
12182,Kirk Hinrich,PG,2/10/16,10,2,1.7
12800,Kirk Hinrich,PG,2/6/16,17,8,8
13193,Kirk Hinrich,PG,4/11/16,5,0,1
13404,Kirk Hinrich,PG,1/14/16,32,5,4.5
13448,Kirk Hinrich,PG,1/7/16,14,3,0.5
14657,Kirk Hinrich,PG,12/7/15,14,0,-5
14947,Kirk Hinrich,PG,3/4/16,3,2,4.8
15095,Kirk Hinrich,PG,1/31/16,11,0,-2.3
15200,Kirk Hinrich,PG,1/12/16,12,0,-0.2
15407,Kirk Hinrich,PG,12/10/15,20,3,3.3
15497,Kirk Hinrich,PG,11/18/15,24,14,16.3
16462,Kirk Hinrich,PG,12/12/15,15,3,3.7
16712,Kirk Hinrich,PG,3/30/16,12,3,4.7
17020,Kirk Hinrich,PG,12/30/15,13,3,-0.4
17638,Kirk Hinrich,PG,1/15/16,8,7,6.9
17684,Kirk Hinrich,PG,1/5/16,13,2,2.7
17722,Kirk Hinrich,PG,12/26/15,10,0,-2.9
18280,Kirk Hinrich,PG,4/7/16,5,0,-0.7
18606,Kirk Hinrich,PG,12/9/15,11,2,0.2
18940,Kirk Hinrich,PG,2/8/16,26,3,-0.3
19388,Kirk Hinrich,PG,1/1/16,16,2,2.9
19597,Kirk Hinrich,PG,11/27/15,22,11,6.8
19705,Kirk Hinrich,PG,11/13/15,9,5,4
20098,Kirk Hinrich,PG,3/13/16,12,0,-1.5
20254,Kirk Hinrich,PG,12/28/15,9,0,0.7
21011,Kirk Hinrich,PG,12/18/15,13,0,-1.9
21134,Kirk Hinrich,PG,11/16/15,13,9,6.4
21412,Kirk Hinrich,PG,12/21/15,12,3,2.5
21997,Kirk Hinrich,PG,10/28/15,5,0,0.7
22142,Kirk Hinrich,PG,1/3/16,21,8,10.4
22234,Kirk Hinrich,PG,12/5/15,14,4,2.1
22700,Kirk Hinrich,PG,12/14/15,13,3,1.2
22927,Kirk Hinrich,PG,12/19/15,20,0,-1.7
22947,Kirk Hinrich,PG,12/16/15,11,5,3.6
23344,Kirk Hinrich,PG,3/12/16,15,0,1.6
24864,Kirk Hinrich,PG,2/1/16,15,2,-0.2
,Kirk Hinrich Var,,,,15.11313131,
44,Klay Thompson,SG,3/21/16,30,17,10.3
64,Klay Thompson,SG,2/27/16,39,32,22.4
86,Klay Thompson,SG,2/6/16,34,18,8.7
108,Klay Thompson,SG,3/14/16,26,18,10.4
124,Klay Thompson,SG,3/3/16,34,21,14
150,Klay Thompson,SG,2/9/16,35,13,1.2
166,Klay Thompson,SG,3/12/16,37,20,14.2
182,Klay Thompson,SG,3/11/16,32,37,29.4
207,Klay Thompson,SG,2/20/16,40,32,27.8
255,Klay Thompson,SG,4/3/16,35,21,15.9
279,Klay Thompson,SG,2/3/16,33,24,14.7
298,Klay Thompson,SG,3/18/16,34,39,30.9
324,Klay Thompson,SG,2/22/16,37,27,18.4
348,Klay Thompson,SG,4/5/16,40,28,15.5
387,Klay Thompson,SG,3/29/16,32,16,5.9
409,Klay Thompson,SG,2/19/16,28,23,15.8
454,Klay Thompson,SG,3/7/16,36,27,14.9
498,Klay Thompson,SG,1/9/16,35,15,9.6
547,Klay Thompson,SG,2/25/16,29,9,4.2
686,Klay Thompson,SG,3/23/16,36,32,22.6
795,Klay Thompson,SG,3/6/16,30,15,7.8
849,Klay Thompson,SG,3/27/16,38,40,27.2
940,Klay Thompson,SG,4/1/16,37,15,8.8
1017,Klay Thompson,SG,3/25/16,35,40,30.2
1042,Klay Thompson,SG,3/19/16,38,15,4.9
1116,Klay Thompson,SG,11/7/15,36,18,8.7
1172,Klay Thompson,SG,12/28/15,37,29,16.6
1235,Klay Thompson,SG,3/16/16,26,19,12.9
1298,Klay Thompson,SG,2/10/16,33,24,17
1328,Klay Thompson,SG,11/28/15,26,15,10.4
1485,Klay Thompson,SG,12/16/15,31,43,35.9
1575,Klay Thompson,SG,2/24/16,34,33,23.8
1896,Klay Thompson,SG,1/31/16,32,34,24.7
1921,Klay Thompson,SG,1/30/16,33,32,16.7
1961,Klay Thompson,SG,11/4/15,32,16,11.5
2070,Klay Thompson,SG,1/14/16,27,12,4.7
2385,Klay Thompson,SG,1/22/16,35,18,11
2452,Klay Thompson,SG,11/27/15,27,15,7.4
2483,Klay Thompson,SG,10/30/15,24,11,4
2599,Klay Thompson,SG,1/20/16,32,20,13.3
2625,Klay Thompson,SG,1/2/16,46,26,15.9
2736,Klay Thompson,SG,1/16/16,32,24,14.7
2757,Klay Thompson,SG,11/24/15,28,11,5.4
3128,Klay Thompson,SG,1/13/16,37,17,11.2
3223,Klay Thompson,SG,12/8/15,34,39,32.1
3272,Klay Thompson,SG,10/27/15,26,9,0.6
3474,Klay Thompson,SG,1/8/16,32,36,30.3
3564,Klay Thompson,SG,4/9/16,35,20,16.3
3805,Klay Thompson,SG,1/27/16,32,45,38.8
4215,Klay Thompson,SG,11/19/15,39,25,18.5
4378,Klay Thompson,SG,3/1/16,39,26,13.4
4510,Klay Thompson,SG,1/4/16,37,30,19.8
4666,Klay Thompson,SG,4/13/16,28,16,11.6
5626,Klay Thompson,SG,1/5/16,34,36,26
5921,Klay Thompson,SG,1/25/16,25,11,4.3
5938,Klay Thompson,SG,12/31/15,40,38,21.9
6042,Klay Thompson,SG,11/6/15,30,18,13.9
6070,Klay Thompson,SG,10/31/15,27,19,13.7
6254,Klay Thompson,SG,12/18/15,37,27,22.2
6343,Klay Thompson,SG,11/12/15,37,15,5.5
6777,Klay Thompson,SG,1/18/16,26,15,9.8
6928,Klay Thompson,SG,12/5/15,35,26,17.3
7006,Klay Thompson,SG,11/22/15,32,21,16.9
7460,Klay Thompson,SG,1/11/16,35,17,11
7565,Klay Thompson,SG,12/6/15,32,21,15.6
7782,Klay Thompson,SG,3/9/16,30,23,17.8
8187,Klay Thompson,SG,11/9/15,32,24,17.3
8260,Klay Thompson,SG,4/7/16,35,14,11.2
8715,Klay Thompson,SG,12/30/15,34,10,0
8771,Klay Thompson,SG,11/20/15,36,15,10.5
8793,Klay Thompson,SG,11/17/15,34,19,9.7
9172,Klay Thompson,SG,12/25/15,36,18,11.4
9258,Klay Thompson,SG,12/2/15,29,21,10.6
10580,Klay Thompson,SG,12/23/15,34,20,11.5
11904,Klay Thompson,SG,12/12/15,30,12,3.5
12050,Klay Thompson,SG,4/10/16,35,14,8.7
13698,Klay Thompson,SG,11/2/15,26,14,11.6
14380,Klay Thompson,SG,3/30/16,39,18,11
17093,Klay Thompson,SG,11/30/15,36,20,17
18700,Klay Thompson,SG,11/11/15,35,8,5.4
,Klay Thompson Var,,,,80.17072785,
797,Kobe Bryant,SG,3/6/16,24,12,2.7
2066,Kobe Bryant,SG,1/14/16,27,8,3.7
2503,Kobe Bryant,SG,4/11/16,19,13,4.7
2760,Kobe Bryant,SG,11/24/15,25,4,-3.6
3103,Kobe Bryant,SG,1/20/16,31,15,9
3205,Kobe Bryant,SG,12/17/15,32,22,15.2
3500,Kobe Bryant,SG,1/7/16,31,28,17.6
3597,Kobe Bryant,SG,3/23/16,28,17,11.5
4001,Kobe Bryant,SG,3/27/16,23,17,9.6
4022,Kobe Bryant,SG,3/25/16,29,28,15.6
4375,Kobe Bryant,SG,3/2/16,11,5,4.9
4626,Kobe Bryant,PG,11/1/15,31,15,5.7
4685,Kobe Bryant,SG,4/10/16,27,35,22.5
5087,Kobe Bryant,SG,3/10/16,32,26,23.4
5192,Kobe Bryant,SG,1/8/16,28,19,12.2
5228,Kobe Bryant,SG,12/12/15,31,25,27.5
5698,Kobe Bryant,SG,10/30/15,22,13,6.5
6178,Kobe Bryant,SG,2/22/16,24,15,8.1
6389,Kobe Bryant,SG,11/8/15,32,18,7.8
6468,Kobe Bryant,SG,4/3/16,33,34,21.7
6678,Kobe Bryant,SG,2/21/16,27,22,12.7
6696,Kobe Bryant,SG,2/10/16,33,17,8.9
6712,Kobe Bryant,SG,2/4/16,32,27,21
7078,Kobe Bryant,SG,11/13/15,32,19,8.1
7244,Kobe Bryant,SG,3/13/16,27,14,4.9
8008,Kobe Bryant,SG,1/23/16,25,10,1.6
8878,Kobe Bryant,SG,4/5/16,22,6,-1
9591,Kobe Bryant,SG,2/24/16,29,13,5.7
9787,Kobe Bryant,SG,12/25/15,26,12,7.4
9998,Kobe Bryant,SG,11/6/15,31,18,7.2
10111,Kobe Bryant,SG,3/30/16,9,2,-2.5
10578,Kobe Bryant,SG,12/23/15,28,19,7
10997,Kobe Bryant,SG,2/8/16,33,19,5.4
11159,Kobe Bryant,SG,12/30/15,33,15,4.2
11219,Kobe Bryant,SG,12/4/15,35,14,6.9
11670,Kobe Bryant,SG,2/2/16,33,38,31.5
12786,Kobe Bryant,SG,2/6/16,33,25,9.6
12891,Kobe Bryant,SG,1/17/16,24,5,6.2
13606,Kobe Bryant,SG,12/9/15,25,11,3.1
13634,Kobe Bryant,SG,11/22/15,31,18,10.3
14142,Kobe Bryant,SG,12/22/15,32,31,23.5
14208,Kobe Bryant,SG,12/2/15,36,31,19.1
14507,Kobe Bryant,SG,1/12/16,16,7,2.3
14703,Kobe Bryant,SG,11/20/15,37,10,5.8
14768,Kobe Bryant,SG,11/3/15,29,11,8.7
14852,Kobe Bryant,SG,4/6/16,28,17,7.3
15269,Kobe Bryant,SG,12/28/15,32,20,6.8
15624,Kobe Bryant,SG,10/28/15,29,24,13.9
15707,Kobe Bryant,SG,3/22/16,30,20,7.6
16516,Kobe Bryant,SG,11/29/15,33,13,3.5
16682,Kobe Bryant,SG,4/8/16,22,14,7.8
17164,Kobe Bryant,SG,11/28/15,34,21,10
17471,Kobe Bryant,SG,2/19/16,29,25,12.8
17562,Kobe Bryant,SG,1/31/16,23,23,20.1
18148,Kobe Bryant,SG,11/15/15,36,17,11.6
18434,Kobe Bryant,SG,1/22/16,27,5,1.6
18975,Kobe Bryant,SG,1/28/16,25,10,5
19093,Kobe Bryant,SG,12/6/15,26,5,-5.9
19996,Kobe Bryant,SG,12/15/15,27,22,16.6
20018,Kobe Bryant,SG,12/7/15,32,21,14.6
21557,Kobe Bryant,SG,4/13/16,42,60,36.3
22548,Kobe Bryant,SG,12/27/15,24,19,9.4
22706,Kobe Bryant,SG,12/1/15,32,20,3.9
23483,Kobe Bryant,SG,12/11/15,29,12,7.8
24885,Kobe Bryant,SG,1/16/16,15,5,2.3
25295,Kobe Bryant,SG,3/28/16,28,5,0.1
,Kobe Bryant Var,,,,93.69160839,
246,Kosta Koufos,C,2/29/16,14,3,2.2
443,Kosta Koufos,C,4/9/16,17,8,6.9
511,Kosta Koufos,C,1/9/16,12,2,2.7
616,Kosta Koufos,C,3/3/16,12,0,4.1
635,Kosta Koufos,C,2/23/16,12,6,6.7
725,Kosta Koufos,C,3/16/16,5,2,0.3
777,Kosta Koufos,C,4/7/16,21,2,3.7
872,Kosta Koufos,C,3/23/16,38,15,10.9
898,Kosta Koufos,C,12/15/15,19,8,6.8
961,Kosta Koufos,C,3/28/16,32,10,8.5
1006,Kosta Koufos,C,12/6/15,15,10,9.9
1115,Kosta Koufos,C,11/7/15,27,12,12.8
1162,Kosta Koufos,C,2/10/16,15,8,7.7
1193,Kosta Koufos,C,4/13/16,33,12,12.1
1271,Kosta Koufos,C,3/15/16,12,4,4.3
1294,Kosta Koufos,C,3/7/16,7,0,-0.9
1321,Kosta Koufos,C,11/28/15,23,14,11.9
1401,Kosta Koufos,C,3/21/16,12,2,0.8
1461,Kosta Koufos,C,2/19/16,10,0,-1.8
1520,Kosta Koufos,C,11/6/15,25,6,5.5
1547,Kosta Koufos,C,2/26/16,11,0,-0.4
1607,Kosta Koufos,C,2/24/16,8,0,-1.2
1653,Kosta Koufos,C,1/16/16,14,2,1
1657,Kosta Koufos,C,4/11/16,35,19,14.8
1678,Kosta Koufos,C,4/2/16,31,13,12.4
1704,Kosta Koufos,C,3/30/16,16,12,9.7
1740,Kosta Koufos,C,3/18/16,17,9,8.9
1754,Kosta Koufos,C,3/11/16,24,19,18.8
1780,Kosta Koufos,C,3/9/16,11,5,5.8
1858,Kosta Koufos,C,2/8/16,19,8,10.6
1953,Kosta Koufos,C,12/21/15,19,6,4.2
2198,Kosta Koufos,C,3/27/16,15,10,10.2
2280,Kosta Koufos,C,12/5/15,31,11,14.4
2297,Kosta Koufos,C,11/27/15,30,16,16.6
2351,Kosta Koufos,C,2/7/16,21,9,13
2416,Kosta Koufos,C,1/21/16,15,6,4.9
2433,Kosta Koufos,C,1/13/16,19,9,8.2
2677,Kosta Koufos,C,10/31/15,29,4,3.3
2949,Kosta Koufos,C,3/2/16,17,2,0.4
3093,Kosta Koufos,C,1/28/16,7,0,-0.2
3110,Kosta Koufos,C,1/20/16,13,4,3.1
3182,Kosta Koufos,C,12/30/15,12,5,2.5
3197,Kosta Koufos,C,12/23/15,19,4,2.4
3449,Kosta Koufos,C,1/26/16,16,6,4.5
3465,Kosta Koufos,C,1/23/16,21,9,4.7
3508,Kosta Koufos,C,1/7/16,20,14,11
3521,Kosta Koufos,C,12/3/15,19,7,8.7
3794,Kosta Koufos,C,2/1/16,30,7,4.5
3868,Kosta Koufos,C,1/25/16,9,0,0.1
3881,Kosta Koufos,C,1/4/16,29,8,9.6
3952,Kosta Koufos,C,11/30/15,12,0,-2.9
4141,Kosta Koufos,C,2/5/16,12,4,5
4175,Kosta Koufos,C,12/18/15,22,4,3.5
4540,Kosta Koufos,C,1/2/16,15,8,7.3
4766,Kosta Koufos,C,3/20/16,17,6,4.3
4850,Kosta Koufos,C,2/3/16,15,0,2.5
4868,Kosta Koufos,C,1/5/16,17,0,-0.5
4920,Kosta Koufos,C,10/28/15,23,10,12.4
5391,Kosta Koufos,C,4/1/16,22,12,10.2
5697,Kosta Koufos,C,10/30/15,21,8,5.4
6301,Kosta Koufos,C,11/23/15,24,10,8.2
6913,Kosta Koufos,C,12/10/15,15,6,3.7
6965,Kosta Koufos,C,11/25/15,35,14,15.9
8099,Kosta Koufos,C,12/27/15,15,4,-0.3
8153,Kosta Koufos,C,11/21/15,21,12,11.6
8170,Kosta Koufos,C,11/18/15,21,13,12.3
8207,Kosta Koufos,C,11/4/15,28,16,14.6
8821,Kosta Koufos,C,11/15/15,13,3,1.1
9496,Kosta Koufos,C,3/13/16,13,4,2.4
9854,Kosta Koufos,C,12/20/15,24,7,5.2
11064,Kosta Koufos,C,1/30/16,14,4,3.5
11927,Kosta Koufos,C,12/8/15,18,6,6.8
12499,Kosta Koufos,C,11/11/15,23,4,1.4
13684,Kosta Koufos,C,11/13/15,19,5,3.7
15484,Kosta Koufos,C,11/19/15,25,6,1.5
15566,Kosta Koufos,C,11/9/15,26,2,4.8
18038,Kosta Koufos,C,1/14/16,15,0,2.9
21192,Kosta Koufos,C,11/3/15,26,11,8.6
,Kosta Koufos Var,,,,23.51132201,
6062,Kostas Papanikolaou,SF,11/6/15,2,0,0.3
7026,Kostas Papanikolaou,SF,11/22/15,2,0,1
7110,Kostas Papanikolaou,SF,11/13/15,4,0,-1.4
7534,Kostas Papanikolaou,SF,12/14/15,14,5,2.2
9811,Kostas Papanikolaou,SF,12/23/15,33,9,10
10556,Kostas Papanikolaou,SF,12/27/15,13,3,4.1
11319,Kostas Papanikolaou,SF,11/20/15,6,0,-0.7
11382,Kostas Papanikolaou,SF,11/9/15,13,5,7
11947,Kostas Papanikolaou,SF,11/17/15,13,4,2.6
13032,Kostas Papanikolaou,SF,11/28/15,2,2,2
13083,Kostas Papanikolaou,SF,11/24/15,2,0,-1
13568,Kostas Papanikolaou,SF,12/20/15,20,0,-0.9
13662,Kostas Papanikolaou,SF,11/14/15,20,9,6.5
14156,Kostas Papanikolaou,SF,12/22/15,11,9,6.9
14552,Kostas Papanikolaou,SF,1/3/16,12,3,0.5
15361,Kostas Papanikolaou,SF,12/15/15,20,8,4.8
16898,Kostas Papanikolaou,SF,1/6/16,11,4,1.6
17022,Kostas Papanikolaou,SF,12/30/15,12,0,-2.8
19569,Kostas Papanikolaou,SF,11/30/15,10,0,-2.9
20493,Kostas Papanikolaou,SF,11/18/15,1,0,0
22497,Kostas Papanikolaou,SF,12/29/15,22,0,-2.3
22759,Kostas Papanikolaou,SF,11/11/15,10,3,1.9
22971,Kostas Papanikolaou,SF,11/27/15,4,0,-0.4
23133,Kostas Papanikolaou,SF,12/26/15,25,2,2.2
23160,Kostas Papanikolaou,SF,12/18/15,11,1,-0.5
25154,Kostas Papanikolaou,SF,11/5/15,1,0,0
,Kostas Papanikolaou Var,,,,10.09384615,
1949,Kris Humphries,PF,12/21/15,17,15,11.9
2649,Kris Humphries,PF,11/10/15,18,7,9
2812,Kris Humphries,PF,3/19/16,14,6,6.2
3726,Kris Humphries,PF,2/19/16,27,18,17.9
5160,Kris Humphries,PF,2/22/16,12,4,1.8
6435,Kris Humphries,PF,4/13/16,11,3,5.5
6601,Kris Humphries,PF,3/17/16,17,11,4.9
6980,Kris Humphries,PF,11/25/15,17,5,5.2
7121,Kris Humphries,PF,11/6/15,21,9,8.8
7713,Kris Humphries,PF,3/21/16,5,2,1.9
8133,Kris Humphries,PF,11/27/15,13,0,-2
8482,Kris Humphries,PF,2/25/16,11,0,-3.6
9359,Kris Humphries,PF,4/9/16,8,3,2.9
