,PLAYER,POS,DATE,MP,PTS,GMSC
15282,Al Horford,C,12/26/15,31,19,21.2
15777,Al Horford,C,2/7/16,35,11,10.3
15873,Al Horford,C,1/5/16,33,13,16.7
15957,Al Horford,C,12/9/15,37,14,14.9
16318,Al Horford,C,1/28/16,34,14,13.3
16705,Al Horford,C,3/30/16,23,7,5.8
16718,Al Horford,C,3/25/16,31,14,16.1
16743,Al Horford,C,3/10/16,35,20,13.1
17238,Al Horford,C,11/7/15,29,14,10.1
17386,Al Horford,C,3/5/16,32,11,9
17416,Al Horford,C,2/28/16,31,13,10.8
17730,Al Horford,C,12/20/15,30,14,10.9
18052,Al Horford,C,1/3/16,32,13,11
18261,Al Horford,C,4/7/16,33,11,11.7
18514,Al Horford,C,12/23/15,30,15,8.7
18863,Al Horford,C,3/16/16,35,21,20.5
19040,Al Horford,C,12/16/15,28,17,12
19670,Al Horford,C,11/21/15,34,10,9.6
19752,Al Horford,C,10/29/15,31,21,16.9
19849,Al Horford,C,2/1/16,28,10,5.1
20039,Al Horford,C,11/17/15,34,18,17.2
20080,Al Horford,C,3/13/16,25,18,15.1
20124,Al Horford,C,1/18/16,27,15,16.3
20627,Al Horford,C,1/31/16,34,17,12.4
20826,Al Horford,C,11/4/15,30,21,25
20852,Al Horford,C,11/3/15,34,17,16
20892,Al Horford,C,2/19/16,38,14,12.5
21416,Al Horford,C,12/2/15,32,12,10.9
21437,Al Horford,C,11/27/15,30,16,11.6
21540,Al Horford,C,10/27/15,30,15,16.4
22295,Al Horford,PF,11/1/15,35,16,12.8
22650,Al Horford,C,12/21/15,24,6,0
23252,Al Horford,C,10/30/15,35,18,12.9
23328,Al Horford,C,3/12/16,31,19,20
23897,Al Horford,C,11/28/15,22,10,7.6
24112,Al Horford,C,12/14/15,35,13,11.9
24323,Al Horford,C,3/8/16,35,11,12
24616,Al Horford,C,11/15/15,31,16,13.7
25066,Al Horford,C,12/12/15,26,9,10.5
,Al Horford Var,,,,26.77280939,
2827,Al Jefferson,C,3/12/16,30,10,8.6
2898,Al Jefferson,C,3/7/16,26,20,17
4277,Al Jefferson,C,3/19/16,19,10,9.4
5075,Al Jefferson,C,3/16/16,19,7,4.7
5360,Al Jefferson,C,4/13/16,23,26,22
6306,Al Jefferson,C,11/23/15,23,10,5.1
6444,Al Jefferson,C,4/11/16,27,16,14.7
6514,Al Jefferson,C,3/29/16,21,7,6
6962,Al Jefferson,C,11/25/15,30,14,12.7
7227,Al Jefferson,C,3/14/16,21,7,6.8
7285,Al Jefferson,C,3/1/16,19,19,14.9
7657,Al Jefferson,C,4/1/16,21,13,12.3
7805,Al Jefferson,C,3/9/16,18,5,3.2
7888,Al Jefferson,C,3/2/16,19,6,5.6
8234,Al Jefferson,C,4/8/16,17,6,8.8
8501,Al Jefferson,C,2/24/16,21,12,7.7
8938,Al Jefferson,C,3/17/16,27,21,17.1
10181,Al Jefferson,C,3/22/16,24,10,9.2
11492,Al Jefferson,C,3/25/16,20,8,2.8
