,Rk,Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Binned PTS
48,49,Stephen Curry,29-019,G,4/2/17,GSW,WAS,1,36,15,22,0.682,6,8,0.75,9,14,0.643,3,3,1.0,0,1,1,8,1,0,1,3,42,37.3,40-50
49,50,Bradley Beal,23-146,G,11/21/16,WAS,PHO,1,40,14,22,0.636,9,12,0.75,5,10,0.5,9,11,0.818,1,3,4,1,0,0,1,2,42,31.9,40-50
50,51,Russell Westbrook,28-039,G,12/21/16,OKC,NOP,1,34,12,26,0.462,10,19,0.526,2,7,0.28600000000000003,16,18,0.889,1,9,10,7,1,0,4,2,42,32.3,40-50
51,52,DeMar DeRozan,27-226,G,3/21/17,TOR,CHI,1,43,17,38,0.447,16,33,0.485,1,5,0.2,7,11,0.636,4,3,7,8,2,1,2,1,42,30.2,40-50
52,53,DeMarcus Cousins,26-161,C-F,1/21/17,SAC,CHI,1,35,16,28,0.5710000000000001,14,21,0.667,2,7,0.28600000000000003,8,9,0.889,2,12,14,3,1,2,2,4,42,34.3,40-50
53,54,Jimmy Butler,27-115,G-F,1/7/17,CHI,TOR,1,44,10,25,0.4,6,17,0.353,4,8,0.5,18,20,0.9,4,6,10,5,2,0,4,1,42,33.4,40-50
54,55,Damian Lillard,26-112,G,11/4/16,POR,DAL,1,37,12,18,0.667,7,12,0.583,5,6,0.833,13,14,0.929,0,4,4,4,0,0,1,4,42,35.2,40-50
55,56,Russell Westbrook,28-085,G,2/5/17,OKC,POR,1,35,16,34,0.47100000000000003,15,28,0.536,1,6,0.16699999999999998,9,11,0.818,1,3,4,8,0,0,4,3,42,25.8,40-50
56,57,Karl-Anthony Towns,21-032,C-F,12/17/16,MIN,HOU,1,43,15,28,0.536,14,24,0.583,1,4,0.25,10,12,0.833,2,14,16,5,0,1,6,4,41,28.8,40-50
57,58,Andrew Wiggins,21-318,F-G,1/6/17,MIN,WAS,1,39,16,30,0.5329999999999999,15,27,0.556,1,3,0.33299999999999996,8,10,0.8,1,0,1,2,2,0,2,2,41,26.9,40-50
58,59,Russell Westbrook,28-001,G,11/13/16,OKC,ORL,1,38,14,21,0.667,14,18,0.778,0,3,0.0,13,18,0.722,2,10,12,16,0,0,2,2,41,42.7,40-50
59,60,Bradley Beal,23-173,G,12/18/16,WAS,LAC,1,38,13,23,0.565,7,13,0.5379999999999999,6,10,0.6,9,11,0.818,0,3,3,3,1,0,1,2,41,31.5,40-50
60,61,Andrew Wiggins,21-357,F-G,2/14/17,MIN,CLE,1,41,16,29,0.552,12,21,0.5710000000000001,4,8,0.5,5,6,0.833,1,2,3,2,1,0,0,1,41,30.0,40-50
61,62,John Wall,26-204,G,3/29/17,WAS,LAC,1,39,16,23,0.696,15,20,0.75,1,3,0.33299999999999996,8,11,0.727,2,5,7,8,3,0,6,5,41,33.6,40-50
62,63,Isaiah Thomas,27-358,G,1/30/17,BOS,DET,1,37,11,23,0.478,7,12,0.583,4,11,0.364,15,15,1.0,0,0,0,8,2,0,3,4,41,32.3,40-50
63,64,Bradley Beal,23-223,G,2/6/17,WAS,CLE,1,45,16,28,0.5710000000000001,10,14,0.7140000000000001,6,14,0.429,3,3,1.0,0,5,5,8,0,0,0,1,41,34.5,40-50
64,65,Russell Westbrook,28-106,G,2/26/17,OKC,NOP,1,37,14,29,0.483,12,21,0.5710000000000001,2,8,0.25,11,12,0.917,2,9,11,11,1,0,9,2,41,28.9,40-50
65,66,Eric Bledsoe,27-054,G,2/1/17,PHO,LAC,1,40,13,22,0.591,11,18,0.611,2,4,0.5,13,15,0.867,0,4,4,8,0,0,6,3,41,29.6,40-50
