GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,39,14,26,11,23,3,3,8,10,3,3,6,5,1,1,1,0,39,32.8
1,39,13,24,10,15,3,9,10,16,0,11,11,13,0,0,5,4,39,30.8
1,35,13,20,9,14,4,6,9,9,1,8,9,6,0,0,4,3,39,32.3
1,33,12,19,12,18,0,1,15,17,1,7,8,6,2,1,1,1,39,38
1,42,11,17,5,7,6,10,11,11,4,8,12,3,3,0,4,3,39,36.6
1,37,12,25,7,13,5,12,10,10,2,1,3,2,1,0,2,0,39,28.4
1,37,14,20,8,13,6,7,5,7,0,1,1,3,1,0,7,4,39,24.6
1,39,14,22,10,17,4,5,7,8,0,3,3,5,2,0,2,3,39,32
1,37,12,22,9,17,3,5,12,12,2,0,2,2,0,0,3,4,39,26.6
1,36,13,20,7,11,6,9,7,8,1,2,3,12,0,0,7,2,39,31.7
1,40,15,24,12,19,3,5,6,6,0,5,5,3,1,0,1,2,39,31
1,40,13,29,9,18,4,11,9,11,1,6,7,11,4,0,6,4,39,29.7
1,41,14,27,9,16,5,11,6,6,1,3,4,2,0,0,1,0,39,27.7
1,39,13,24,9,15,4,9,9,12,1,3,4,7,6,0,4,1,39,34.3
1,45,13,29,10,22,3,7,10,10,1,2,3,7,0,0,2,3,39,26.9
1,38,13,26,9,16,4,10,9,9,1,5,6,2,1,0,4,3,39,25.4
1,33,15,21,9,11,6,10,3,3,1,4,5,3,3,0,3,3,39,33.1
1,39,12,18,8,13,4,5,11,11,0,6,6,5,1,2,1,1,39,37.5
1,49,12,28,9,17,3,11,12,12,1,13,14,2,3,3,2,3,39,32.1
1,39,17,34,16,30,1,4,4,9,3,11,14,0,1,2,2,2,39,25
1,40,13,23,10,18,3,5,10,12,0,2,2,9,0,1,5,0,39,29.9
1,35,17,26,15,22,2,4,3,3,3,10,13,2,1,0,0,2,39,34.3
1,42,15,27,13,22,2,5,6,8,2,14,16,2,1,3,2,3,38,31.2
1,38,15,27,11,17,4,10,4,4,3,2,5,9,1,0,3,1,38,31.7
0,34,13,27,9,18,4,9,8,9,0,6,6,7,1,0,3,1,38,28.2
1,38,13,24,7,13,6,11,6,6,1,2,3,0,2,1,1,2,38,28.6
1,39,12,18,4,7,8,11,6,8,0,4,4,1,4,0,2,2,38,32.5
1,38,14,32,14,31,0,1,10,11,1,5,6,2,1,1,6,1,38,19.7
1,37,14,17,12,14,2,3,8,11,0,5,5,4,2,2,3,3,38,34
1,38,13,22,10,17,3,5,9,13,3,11,14,12,3,1,6,0,38,37.7
1,42,10,21,6,11,4,10,14,16,3,9,12,12,0,1,4,5,38,34.4
1,47,14,34,10,22,4,12,6,8,0,14,14,2,0,0,5,4,38,18
1,37,12,23,9,15,3,8,11,12,2,3,5,3,0,0,4,4,38,25.1
1,36,11,29,8,22,3,7,13,17,1,10,11,10,4,1,6,3,38,28.7
1,32,15,28,13,25,2,3,6,6,3,4,7,4,1,0,1,4,38,28.9
1,37,14,22,12,17,2,5,8,10,0,9,9,6,2,4,2,2,38,36.3
1,38,13,24,8,13,5,11,7,7,0,2,2,4,1,0,6,2,38,24
1,34,11,22,6,10,5,12,11,13,1,1,2,10,2,1,5,3,38,30.7
1,40,13,28,9,14,4,14,8,12,3,7,10,11,1,1,4,2,38,30.8
1,37,14,25,10,14,4,11,6,6,0,6,6,8,0,2,2,2,38,32.1
1,38,12,24,7,12,5,12,9,11,1,6,7,17,2,1,3,2,38,38.5
1,33,12,18,5,8,7,10,7,8,0,6,6,9,2,0,2,2,38,37.1
1,37,16,24,13,18,3,6,3,4,0,3,3,2,2,1,3,2,38,28.4
